geometry;og_line_id;type;censored;f_set;length;id;Area;b_group
LINESTRING Z (-25.44992945795879 -6.507588624529172 0, -25.44992945795879 -6.507588624529169 0, -25.44992945795879 -6.507588624529169 0, -25.850514153505607 -5.853671710512538 0, -25.850514153505607 -5.853671710512538 0, -25.85051415350561 -5.8536717105125335 0);26;fracture;1;1;0.7669;;;-9999
LINESTRING Z (-25.931207497991984 -5.72194740003637 0, -25.988191784129 -5.62892590183037 0, -25.988191784129 -5.62892590183037 0, -25.988191784129 -5.628925901830369 0);27;fracture;1;1;0.1091;;;-9999
LINESTRING Z (-18.488582257898667 -16.517751123546162 0, -23.348813006887433 -8.583880638431689 0);28;fracture;1;1;9.3042;;;-9999
LINESTRING Z (-23.348813006887433 -8.583880638431689 0, -23.684092690157144 -8.036568027007725 0);29;fracture;1;1;0.6418;;;-9999
LINESTRING Z (-18.253055510541135 -15.548643062419696 0, -22.278519067390878 -8.977451661838742 0);30;fracture;1;1;7.7062;;;-9999
LINESTRING Z (-22.278519067390878 -8.977451661838742 0, -22.56420285427801 -8.511099695868571 0);31;fracture;0;1;0.5469;;;-9999
LINESTRING Z (-22.56420285427801 -8.511099695868571 0, -22.83719207115798 -8.065470423840873 0, -22.83719207115798 -8.065470423840873 0, -22.837192071157983 -8.065470423840868 0);32;fracture;1;1;0.5226;;;-9999
LINESTRING Z (-16.3027680224953 -17.378720951962457 0, -16.69804001611097 -16.73347652516395 0);33;fracture;1;1;0.7567;;;-9999
LINESTRING Z (-18.478483239157548 -13.827070087426325 0, -20.81641547282029 -10.010615169372505 0);34;fracture;1;1;4.4756;;;-9999
LINESTRING Z (-20.81641547282029 -10.010615169372505 0, -21.77017499559575 -8.453692274462732 0);35;fracture;0;1;1.8258;;;-9999
LINESTRING Z (-21.77017499559575 -8.453692274462732 0, -21.77054300730196 -8.453091529896295 0);36;fracture;1;1;0.0007;;;-9999
LINESTRING Z (-15.438474889480286 -17.436014995352927 0, -16.70217800544035 -15.373138277874286 0, -16.70217800544035 -15.373138277874286 0, -16.70217800544035 -15.373138277874284 0);37;fracture;1;1;2.4192;;;-9999
LINESTRING Z (-17.557905930422702 -13.976242764483619 0, -20.72853020437348 -8.800496252505877 0);38;fracture;1;1;6.0697;;;-9999
LINESTRING Z (-21.80368147982991 -7.045412715957382 0, -21.80368147982991 -7.045412715957381 0, -21.80368147982991 -7.045412715957381 0, -22.18370430753114 -6.42506112112912 0);39;fracture;1;1;0.7275;;;-9999
LINESTRING Z (-22.749021979136923 -5.502233086595996 0, -22.749021979136923 -5.502233086595995 0, -22.749021979136923 -5.502233086595995 0, -23.128802581683303 -4.882276901596215 0, -23.128802581683303 -4.882276901596215 0, -23.128802581683303 -4.882276901596214 0);40;fracture;1;1;0.727;;;-9999
LINESTRING Z (-14.850511819290187 -17.042226149303932 0, -16.70168121245683 -14.020365877659854 0, -16.70168121245683 -14.020365877659854 0, -16.70168121245683 -14.020365877659852 0);41;fracture;1;1;3.5438;;;-9999
LINESTRING Z (-16.92931444536171 -13.648775992066254 0, -19.433035652609238 -9.56168613665778 0, -19.433035652609238 -9.56168613665778 0, -19.433035652609238 -9.561686136657778 0);42;fracture;1;1;4.793;;;-9999
LINESTRING Z (-19.56779181981435 -9.341709342778547 0, -19.886341078120413 -8.821707579682132 0, -19.886341078120413 -8.821707579682132 0, -19.886341078120413 -8.82170757968213 0);43;fracture;1;1;0.6098;;;-9999
LINESTRING Z (-21.282365892748437 -6.5428281096962335 0, -21.315538402606677 -6.488677101138416 0);44;fracture;1;1;0.0635;;;-9999
LINESTRING Z (-21.315538402606677 -6.488677101138416 0, -21.419056987115017 -6.3196927288506535 0);45;fracture;0;1;0.1982;;;-9999
LINESTRING Z (-21.419056987115017 -6.3196927288506535 0, -21.432081985656325 -6.298430641342349 0);46;fracture;0;1;0.0249;;;-9999
LINESTRING Z (-21.432081985656325 -6.298430641342349 0, -21.511637085803628 -6.168564407906759 0);47;fracture;0;1;0.1523;;;-9999
LINESTRING Z (-21.511637085803628 -6.168564407906759 0, -21.896706861583652 -5.539974144078969 0);48;fracture;0;1;0.7372;;;-9999
LINESTRING Z (-21.896706861583652 -5.539974144078969 0, -22.621128701091987 -4.357423489988455 0, -22.621128701091987 -4.357423489988455 0, -22.621128701091987 -4.357423489988454 0);49;fracture;1;1;1.3868;;;-9999
LINESTRING Z (-14.110322507923309 -16.896932353039066 0, -15.914355003309316 -13.952018642448586 0);50;fracture;1;1;3.4536;;;-9999
LINESTRING Z (-15.914355003309316 -13.952018642448586 0, -18.033647844361703 -10.492472009927418 0);51;fracture;0;1;4.0571;;;-9999
LINESTRING Z (-18.033647844361703 -10.492472009927418 0, -18.717697828197196 -9.375824620660017 0);52;fracture;0;1;1.3095;;;-9999
LINESTRING Z (-18.717697828197196 -9.375824620660017 0, -19.515022623002185 -8.074266735189365 0);53;fracture;1;1;1.5264;;;-9999
LINESTRING Z (-20.373871379774542 -6.672276756842923 0, -20.373871379774545 -6.672276756842916 0, -20.373871379774545 -6.672276756842916 0, -20.829311461176243 -5.928813574498568 0);54;fracture;1;1;0.8719;;;-9999
LINESTRING Z (-20.829311461176243 -5.928813574498568 0, -21.68628668552898 -4.529881961965317 0, -21.68628668552898 -4.529881961965317 0, -21.68628668552898 -4.529881961965316 0);55;fracture;1;1;1.6406;;;-9999
LINESTRING Z (-21.915968968248052 -4.154947194887087 0, -21.936708012328037 -4.121092652126969 0);56;fracture;1;1;0.0397;;;-9999
LINESTRING Z (-13.903820806872941 -15.880443628294232 0, -18.08687795218185 -9.051995487304483 0);57;fracture;1;1;8.0079;;;-9999
LINESTRING Z (-18.08687795218185 -9.051995487304483 0, -18.481541362292468 -8.407744515952405 0);58;fracture;1;1;0.7555;;;-9999
LINESTRING Z (-20.22841600511943 -5.556135634459821 0, -20.62081964574281 -4.915573524679114 0);59;fracture;1;1;0.7512;;;-9999
LINESTRING Z (-20.789515781258817 -4.64019291835671 0, -21.32556509742787 -3.7651427267574054 0);60;fracture;1;1;1.0262;;;-9999
LINESTRING Z (-13.754748987623222 -14.770206012248998 0, -13.754748987623223 -14.770206012248996 0, -13.754748987623223 -14.770206012248996 0, -14.606709328389165 -13.379460726441868 0);61;fracture;1;1;1.631;;;-9999
LINESTRING Z (-14.606709328389165 -13.379460726441868 0, -16.90980092248479 -9.61987988211419 0);62;fracture;0;1;4.4089;;;-9999
LINESTRING Z (-16.90980092248479 -9.61987988211419 0, -17.185047249237222 -9.17056609008659 0);63;fracture;0;1;0.5269;;;-9999
LINESTRING Z (-17.185047249237222 -9.17056609008659 0, -17.54159526662959 -8.588534919590424 0);64;fracture;0;1;0.6826;;;-9999
LINESTRING Z (-17.54159526662959 -8.588534919590424 0, -17.915423377868986 -7.978295617910057 0);65;fracture;0;1;0.7156;;;-9999
LINESTRING Z (-17.915423377868986 -7.978295617910057 0, -18.49260273942072 -7.036104487954903 0, -18.49260273942072 -7.036104487954903 0, -18.49260273942072 -7.036104487954902 0);66;fracture;1;1;1.1049;;;-9999
LINESTRING Z (-18.86062967553016 -6.435335060138477 0, -18.930649301005484 -6.321034594043727 0);67;fracture;1;1;0.134;;;-9999
LINESTRING Z (-20.202525816256752 -4.244815569430169 0, -20.375694277531785 -3.9621343111075027 0);68;fracture;1;1;0.3315;;;-9999
LINESTRING Z (-20.375694277531785 -3.9621343111075027 0, -20.701906822454863 -3.4296229519343253 0, -20.701906822454863 -3.4296229519343253 0, -20.701906822454863 -3.429622951934325 0);69;fracture;1;1;0.6245;;;-9999
LINESTRING Z (-22.12263006750955 -1.1104256126308982 0, -22.12263006750955 -1.110425612630897 0, -22.12263006750955 -1.110425612630897 0, -22.321133953557943 -0.7863866515121213 0, -22.321133953557943 -0.7863866515121213 0, -22.321133953557943 -0.786386651512119 0);70;fracture;1;1;0.38;;;-9999
LINESTRING Z (-22.332601494289126 -0.767666967685808 0, -22.33876047992181 -0.7576130017625721 0);71;fracture;1;1;0.0118;;;-9999
LINESTRING Z (-22.33876047992181 -0.7576130017625721 0, -22.454887399439592 -0.5680467060715524 0, -22.454887399439592 -0.5680467060715524 0, -22.454887399439595 -0.568046706071548 0);72;fracture;1;1;0.2223;;;-9999
LINESTRING Z (-24.773081147226943 3.216186986572305 0, -24.773081147226943 3.2161869865723056 0, -24.773081147226943 3.2161869865723056 0, -24.85260374791945 3.346000167698548 0);73;fracture;1;1;0.1522;;;-9999
LINESTRING Z (-14.02598695600868 -12.97385212087727 0, -14.681190191046554 -11.90429434128006 0);74;fracture;1;1;1.2543;;;-9999
LINESTRING Z (-14.681190191046554 -11.90429434128006 0, -15.097534854850938 -11.224650758415237 0);75;fracture;1;1;0.797;;;-9999
LINESTRING Z (-15.33231541725986 -10.841393528300742 0, -15.33231541725986 -10.84139352830074 0, -15.33231541725986 -10.84139352830074 0, -16.049098907325124 -9.671311762691287 0);76;fracture;1;1;1.3722;;;-9999
LINESTRING Z (-16.049098907325124 -9.671311762691287 0, -16.998264936016966 -8.121887315698034 0);77;fracture;0;1;1.817;;;-9999
LINESTRING Z (-16.998264936016966 -8.121887315698034 0, -17.81182783575244 -6.793822248141645 0);78;fracture;1;1;1.5574;;;-9999
LINESTRING Z (-18.229658192173396 -6.111753411536958 0, -18.23209993430952 -6.107767496697403 0);79;fracture;1;1;0.0047;;;-9999
LINESTRING Z (-18.23209993430952 -6.107767496697403 0, -18.711283126741474 -5.3255459142777175 0);80;fracture;1;1;0.9173;;;-9999
LINESTRING Z (-19.40210610759651 -4.197842243133106 0, -19.48099156583638 -4.069069137254487 0);81;fracture;1;1;0.151;;;-9999
LINESTRING Z (-19.48099156583638 -4.069069137254487 0, -20.158811430228962 -2.9625918331784398 0, -20.158811430228962 -2.9625918331784398 0, -20.158811430228962 -2.9625918331784393 0);82;fracture;1;1;1.2976;;;-9999
LINESTRING Z (-21.036072816639248 -1.5305449652762662 0, -21.036072816639248 -1.5305449652762655 0, -21.036072816639248 -1.5305449652762655 0, -21.139936123294657 -1.3609978664412605 0);83;fracture;1;1;0.1988;;;-9999
LINESTRING Z (-21.139936123294657 -1.3609978664412605 0, -21.51082761670494 -0.7555523177170337 0);84;fracture;0;1;0.71;;;-9999
LINESTRING Z (-21.51082761670494 -0.7555523177170337 0, -21.743488264459714 -0.3757556492865706 0);85;fracture;0;1;0.4454;;;-9999
LINESTRING Z (-21.743488264459714 -0.3757556492865706 0, -22.29153864794012 0.5188851582009244 0);86;fracture;1;1;1.0492;;;-9999
LINESTRING Z (-23.945276973663255 3.2184577443970204 0, -23.945276973663255 3.218457744397021 0, -23.945276973663255 3.218457744397021 0, -24.753684290358336 4.538106806576252 0);87;fracture;1;1;1.5476;;;-9999
LINESTRING Z (-24.753684290358336 4.538106806576252 0, -24.949869263003663 4.8583603592326945 0, -24.949869263003663 4.8583603592326945 0, -24.949869263003663 4.858360359232695 0);88;fracture;1;1;0.3756;;;-9999
LINESTRING Z (-14.076078551621752 -11.538498924831389 0, -14.233772803606207 -11.281077860666487 0);89;fracture;1;1;0.3019;;;-9999
LINESTRING Z (-14.95907728793824 -10.09708637175202 0, -15.903145698883929 -8.555983307234078 0);90;fracture;1;1;1.8073;;;-9999
LINESTRING Z (-15.903145698883929 -8.555983307234078 0, -16.406362127875017 -7.734529722046218 0);91;fracture;0;1;0.9633;;;-9999
LINESTRING Z (-16.406362127875017 -7.734529722046218 0, -17.60372986336403 -5.779939286519839 0);92;fracture;0;1;2.2922;;;-9999
LINESTRING Z (-17.60372986336403 -5.779939286519839 0, -18.44328664592628 -4.409441645202257 0);93;fracture;1;1;1.6072;;;-9999
LINESTRING Z (-18.66514496540977 -4.047278763698452 0, -19.626037606996825 -2.478711721889295 0);94;fracture;1;1;1.8395;;;-9999
LINESTRING Z (-19.626037606996825 -2.478711721889295 0, -19.860105497029988 -2.0966178625322027 0);95;fracture;0;1;0.4481;;;-9999
LINESTRING Z (-19.860105497029988 -2.0966178625322027 0, -20.711813409888535 -0.7062846415893876 0);96;fracture;0;1;1.6305;;;-9999
LINESTRING Z (-20.711813409888535 -0.7062846415893876 0, -20.892892938454725 -0.4106893084977122 0, -20.892892938454725 -0.4106893084977122 0, -20.892892938454725 -0.4106893084977121 0);97;fracture;1;1;0.3467;;;-9999
LINESTRING Z (-23.020430753522593 3.0623164701772847 0, -23.020430753522593 3.062316470177285 0, -23.020430753522593 3.062316470177285 0, -23.924206274428084 4.537645173855179 0);98;fracture;1;1;1.7301;;;-9999
LINESTRING Z (-23.924206274428084 4.537645173855179 0, -24.263231822020227 5.091072557174526 0);99;fracture;0;1;0.649;;;-9999
LINESTRING Z (-24.263231822020227 5.091072557174526 0, -24.4328581061618 5.367971543818413 0);100;fracture;0;1;0.3247;;;-9999
LINESTRING Z (-24.4328581061618 5.367971543818413 0, -24.818413361882005 5.9973543080782665 0, -24.818413361882005 5.9973543080782665 0, -24.818413361882005 5.997354308078267 0);101;fracture;1;1;0.7381;;;-9999
LINESTRING Z (-24.96050010968918 6.229297586694783 0, -25.005811162010307 6.303263626421366 0);102;fracture;1;1;0.0867;;;-9999
LINESTRING Z (-25.74581718151677 7.511253991527168 0, -25.873880880632445 7.720305959448613 0);103;fracture;1;1;0.2452;;;-9999
LINESTRING Z (-25.873880880632445 7.720305959448613 0, -26.00282516095314 7.930795393530225 0);104;fracture;0;1;0.2468;;;-9999
LINESTRING Z (-26.00282516095314 7.930795393530225 0, -26.394644522438377 8.570403722462123 0);105;fracture;0;1;0.7501;;;-9999
LINESTRING Z (-26.394644522438377 8.570403722462123 0, -26.405690750042186 8.588435652155166 0);106;fracture;1;1;0.0211;;;-9999
LINESTRING Z (-10.931246949516908 -15.318557952959365 0, -11.066433416506456 -15.09787873507276 0);107;fracture;1;1;0.2588;;;-9999
LINESTRING Z (-14.39903105483832 -9.657725909607706 0, -14.39903105483832 -9.657725909607704 0, -14.39903105483832 -9.657725909607704 0, -15.812377394730758 -7.350570675537746 0);108;fracture;1;1;2.7056;;;-9999
LINESTRING Z (-15.812377394730758 -7.350570675537746 0, -18.114753543389646 -3.59215772872922 0);109;fracture;0;1;4.4076;;;-9999
LINESTRING Z (-18.114753543389646 -3.59215772872922 0, -18.85373490080431 -2.3858400283068906 0);110;fracture;0;1;1.4147;;;-9999
LINESTRING Z (-18.85373490080431 -2.3858400283068906 0, -18.942802027344765 -2.240446304644635 0);111;fracture;0;1;0.1705;;;-9999
LINESTRING Z (-18.942802027344765 -2.240446304644635 0, -19.216988399281306 -1.792862789359776 0);112;fracture;0;1;0.5249;;;-9999
LINESTRING Z (-19.216988399281306 -1.792862789359776 0, -19.606705439815833 -1.156686302042511 0, -19.606705439815833 -1.156686302042511 0, -19.606705439815833 -1.1566863020425098 0);113;fracture;1;1;0.7461;;;-9999
LINESTRING Z (-19.66191912465998 -1.0665551442470604 0, -20.098106179777098 -0.3545207200990462 0, -20.098106179777098 -0.3545207200990462 0, -20.098106179777098 -0.354520720099046 0);114;fracture;1;1;0.835;;;-9999
LINESTRING Z (-22.023619972314854 2.788699805073484 0, -23.111253616120543 4.564159636276529 0);115;fracture;1;1;2.0821;;;-9999
LINESTRING Z (-23.111253616120543 4.564159636276529 0, -24.39407194062386 6.658240137425262 0);116;fracture;0;1;2.4558;;;-9999
LINESTRING Z (-24.39407194062386 6.658240137425262 0, -24.7438046317941 7.229145927594287 0);117;fracture;0;1;0.6695;;;-9999
LINESTRING Z (-24.7438046317941 7.229145927594287 0, -25.026058910669672 7.689899543651323 0);118;fracture;0;1;0.5403;;;-9999
LINESTRING Z (-25.026058910669672 7.689899543651323 0, -25.157999531816976 7.905280222876493 0);119;fracture;0;1;0.2526;;;-9999
LINESTRING Z (-25.157999531816976 7.905280222876493 0, -25.638566084134855 8.68976001045887 0);120;fracture;0;1;0.92;;;-9999
LINESTRING Z (-25.638566084134855 8.68976001045887 0, -26.284002096121878 9.743373715240129 0);121;fracture;1;1;1.2356;;;-9999
LINESTRING Z (-9.33800854014264 -16.565786736500513 0, -10.64338393840967 -14.434883929784974 0);122;fracture;1;1;2.499;;;-9999
LINESTRING Z (-13.471410729087305 -9.818395650840886 0, -13.825150377884441 -9.240948878464843 0);123;fracture;1;1;0.6772;;;-9999
LINESTRING Z (-13.994738360707567 -8.96411241512811 0, -15.184461676424833 -7.022000777324558 0);124;fracture;1;1;2.2776;;;-9999
LINESTRING Z (-15.184461676424833 -7.022000777324558 0, -15.74432417440682 -6.108077801674494 0);125;fracture;1;1;1.0718;;;-9999
LINESTRING Z (-15.85907069205476 -5.92076488246257 0, -18.73916492006057 -1.2192813994657659 0);126;fracture;1;1;5.5135;;;-9999
LINESTRING Z (-18.73916492006057 -1.2192813994657659 0, -18.88617871620066 -0.9792951769303077 0);127;fracture;1;1;0.2814;;;-9999
LINESTRING Z (-19.666187716990777 0.2939963001831872 0, -20.254826133299186 1.2548932614078137 0);128;fracture;1;1;1.1269;;;-9999
LINESTRING Z (-20.254826133299186 1.2548932614078137 0, -20.411448270931338 1.5105641995281502 0);129;fracture;0;1;0.2998;;;-9999
LINESTRING Z (-20.411448270931338 1.5105641995281502 0, -20.441520258116327 1.5596538958569446 0);130;fracture;0;1;0.0576;;;-9999
LINESTRING Z (-20.441520258116327 1.5596538958569446 0, -20.80395076672216 2.1512876810905217 0);131;fracture;0;1;0.6938;;;-9999
LINESTRING Z (-20.80395076672216 2.1512876810905217 0, -21.669318251625956 3.5639188712216665 0);132;fracture;0;1;1.6566;;;-9999
LINESTRING Z (-21.669318251625956 3.5639188712216665 0, -22.046040786690682 4.178883048107587 0);133;fracture;0;1;0.7212;;;-9999
LINESTRING Z (-22.046040786690682 4.178883048107587 0, -22.1427287511514 4.336717074333664 0, -22.1427287511514 4.336717074333664 0, -22.1427287511514 4.336717074333665 0);134;fracture;1;1;0.1851;;;-9999
LINESTRING Z (-22.172828902414327 4.38585274587603 0, -22.321476862754977 4.628506588075711 0);135;fracture;1;1;0.2846;;;-9999
LINESTRING Z (-22.321476862754977 4.628506588075711 0, -24.10685656707166 7.542971368116809 0);136;fracture;0;1;3.4178;;;-9999
LINESTRING Z (-24.10685656707166 7.542971368116809 0, -24.40090324362789 8.02297496647701 0);137;fracture;0;1;0.5629;;;-9999
LINESTRING Z (-24.40090324362789 8.02297496647701 0, -24.83566958485578 8.73269020855823 0);138;fracture;0;1;0.8323;;;-9999
LINESTRING Z (-24.83566958485578 8.73269020855823 0, -25.004612762124207 9.008474087352525 0);139;fracture;0;1;0.3234;;;-9999
LINESTRING Z (-25.004612762124207 9.008474087352525 0, -25.204977847745255 9.335551282069472 0);140;fracture;0;1;0.3836;;;-9999
LINESTRING Z (-25.204977847745255 9.335551282069472 0, -25.90593209796705 10.479793299469025 0);141;fracture;1;1;1.3419;;;-9999
LINESTRING Z (-7.163886026173524 -18.761254295263626 0, -7.163886026173525 -18.761254295263626 0, -7.163886026173525 -18.761254295263626 0, -7.360689320540521 -18.43999139043622 0);142;fracture;1;1;0.3768;;;-9999
LINESTRING Z (-7.879833253464773 -17.592537650135732 0, -7.879833253464774 -17.592537650135732 0, -7.879833253464774 -17.592537650135732 0, -11.044384244994998 -12.426705201632078 0);143;fracture;1;1;6.0581;;;-9999
LINESTRING Z (-13.942634878544636 -7.69558309086232 0, -13.942634878544636 -7.6955830908623195 0, -13.942634878544636 -7.6955830908623195 0, -14.432945516926624 -6.895196997423062 0);144;fracture;1;1;0.9386;;;-9999
LINESTRING Z (-15.206539590196485 -5.632377287339905 0, -16.161287101985252 -4.07384159310493 0);145;fracture;1;1;1.8277;;;-9999
LINESTRING Z (-16.161287101985252 -4.07384159310493 0, -16.210184835316333 -3.9940206332986117 0);146;fracture;0;1;0.0936;;;-9999
LINESTRING Z (-16.210184835316333 -3.9940206332986117 0, -17.329229970423885 -2.167284491030474 0);147;fracture;0;1;2.1422;;;-9999
LINESTRING Z (-17.329229970423885 -2.167284491030474 0, -17.71267893770256 -1.5413400449415926 0);148;fracture;0;1;0.7341;;;-9999
LINESTRING Z (-17.71267893770256 -1.5413400449415926 0, -17.92455680144307 -1.195469320608245 0);149;fracture;0;1;0.4056;;;-9999
LINESTRING Z (-17.92455680144307 -1.195469320608245 0, -18.282253661199245 -0.6115627727909214 0);150;fracture;1;1;0.6848;;;-9999
LINESTRING Z (-18.658809518010425 0.0031293174915856 0, -18.658809518010425 0.0031293174915859 0, -18.658809518010425 0.0031293174915859 0, -19.69271431766478 1.690881853953477 0);151;fracture;1;1;1.9793;;;-9999
LINESTRING Z (-19.69271431766478 1.690881853953477 0, -19.989961898754334 2.176110628506776 0);152;fracture;0;1;0.569;;;-9999
LINESTRING Z (-19.989961898754334 2.176110628506776 0, -20.2304102123747 2.568619930462261 0, -20.2304102123747 2.568619930462261 0, -20.2304102123747 2.5686199304622637 0);153;fracture;1;1;0.4603;;;-9999
LINESTRING Z (-20.414423413500554 2.869004208634156 0, -20.853058193236834 3.5850343134637326 0, -20.853058193236834 3.5850343134637326 0, -20.853058193236834 3.585034313463733 0);154;fracture;1;1;0.8397;;;-9999
LINESTRING Z (-21.56299460997451 4.743938874576373 0, -21.571408725174933 4.757674127837937 0);155;fracture;1;1;0.0161;;;-9999
LINESTRING Z (-21.571408725174933 4.757674127837937 0, -21.68007893248725 4.93506804078864 0);156;fracture;0;1;0.208;;;-9999
LINESTRING Z (-21.68007893248725 4.93506804078864 0, -21.81574772559331 5.156534610786216 0);157;fracture;0;1;0.2597;;;-9999
LINESTRING Z (-21.81574772559331 5.156534610786216 0, -22.070009166642578 5.571592546680136 0);158;fracture;0;1;0.4867;;;-9999
LINESTRING Z (-22.070009166642578 5.571592546680136 0, -23.38389987246018 7.716395793670293 0);159;fracture;0;1;2.5153;;;-9999
LINESTRING Z (-23.38389987246018 7.716395793670293 0, -23.469953967502132 7.856871026233816 0);160;fracture;0;1;0.1647;;;-9999
LINESTRING Z (-23.469953967502132 7.856871026233816 0, -23.666966447137177 8.178475406375833 0);161;fracture;0;1;0.3772;;;-9999
LINESTRING Z (-23.666966447137177 8.178475406375833 0, -23.780419096172448 8.36367620652843 0);162;fracture;0;1;0.2172;;;-9999
LINESTRING Z (-23.780419096172448 8.36367620652843 0, -24.077263615539348 8.848247020653472 0);163;fracture;0;1;0.5683;;;-9999
LINESTRING Z (-24.077263615539348 8.848247020653472 0, -24.23720965749814 9.109343920583946 0);164;fracture;0;1;0.3062;;;-9999
LINESTRING Z (-24.23720965749814 9.109343920583946 0, -25.004611790318265 10.362055869098375 0);165;fracture;1;1;1.4691;;;-9999
LINESTRING Z (-5.151859996501573 -20.692114558833257 0, -5.151859996501575 -20.692114558833254 0, -5.151859996501575 -20.692114558833254 0, -5.375621238236054 -20.326845335375268 0);166;fracture;1;1;0.4284;;;-9999
LINESTRING Z (-5.932152579600969 -19.418360160218725 0, -7.895955730222048 -16.212635852061315 0);167;fracture;1;1;3.7594;;;-9999
LINESTRING Z (-7.895955730222048 -16.212635852061315 0, -8.18136245043512 -15.746736171429289 0);168;fracture;0;1;0.5464;;;-9999
LINESTRING Z (-8.18136245043512 -15.746736171429289 0, -10.503769516990777 -11.95562463138545 0);169;fracture;1;1;4.4459;;;-9999
LINESTRING Z (-14.175614165518107 -5.9616829056890355 0, -14.881877208530526 -4.808774782376328 0);170;fracture;1;1;1.352;;;-9999
LINESTRING Z (-14.881877208530526 -4.808774782376328 0, -15.5712137167876 -3.6834976382179794 0);171;fracture;1;1;1.3196;;;-9999
LINESTRING Z (-15.991803197924764 -2.996924789503333 0, -16.346021409512876 -2.418696808292013 0);172;fracture;1;1;0.6781;;;-9999
