geometry,original_line_id,type,censored,f_set,length,id,b_group
"LINESTRING Z (-34.519461386554234 27.91078957400758 0, -33.7978087057799 28.827425865229404 0)",76,fracture,0,1,1.1666,,-9999
"LINESTRING Z (-33.7978087057799 28.827425865229404 0, -32.47002632892575 30.513962264101146 0)",77,fracture,0,1,2.1465,,-9999
"LINESTRING Z (-32.47002632892575 30.513962264101146 0, -31.38216597591443 31.89575201686919 0)",78,fracture,0,1,1.7586,,-9999
"LINESTRING Z (-31.38216597591443 31.89575201686919 0, -30.86178442140481 32.556735660183755 0)",79,fracture,0,1,0.8412,,-9999
"LINESTRING Z (-30.86178442140481 32.556735660183755 0, -30.844907088911974 32.57817308551882 0, -30.804497297734418 32.629501213440825 0)",80,fracture,0,1,0.0926,,-9999
"LINESTRING Z (-30.804497297734418 32.629501213440825 0, -29.965149260062763 33.69563301450352 0)",81,fracture,1,1,1.3569,,-9999
"LINESTRING Z (-63.62604770389606 -14.008880478816893 0, -63.58970545094982 -13.96271889881757 0)",82,fracture,1,1,0.0588,,-9999
"LINESTRING Z (-63.58970545094982 -13.96271889881757 0, -63.18786280014737 -13.452302230384946 0)",83,fracture,0,1,0.6496,,-9999
"LINESTRING Z (-63.18786280014737 -13.452302230384946 0, -62.72469600635886 -12.863992225605564 0)",84,fracture,0,1,0.7488,,-9999
"LINESTRING Z (-62.72469600635886 -12.863992225605564 0, -61.7977078702459 -11.686540814794654 0)",85,fracture,0,1,1.4986,,-9999
"LINESTRING Z (-61.7977078702459 -11.686540814794654 0, -60.77004243445571 -10.381210066672418 0)",86,fracture,0,1,1.6613,,-9999
"LINESTRING Z (-60.77004243445571 -10.381210066672418 0, -60.22729890962555 -9.6918224638284 0)",87,fracture,0,1,0.8774,,-9999
"LINESTRING Z (-60.22729890962555 -9.6918224638284 0, -58.97351153964868 -8.09927381069626 0)",88,fracture,0,1,2.0269,,-9999
"LINESTRING Z (-58.97351153964868 -8.09927381069626 0, -57.93025995084519 -6.774145680989853 0)",89,fracture,0,1,1.6865,,-9999
"LINESTRING Z (-57.93025995084519 -6.774145680989853 0, -57.538573227676416 -6.276628974115002 0)",90,fracture,0,1,0.6332,,-9999
"LINESTRING Z (-57.538573227676416 -6.276628974115002 0, -57.04464634991404 -5.649247806652173 0)",91,fracture,0,1,0.7985,,-9999
"LINESTRING Z (-57.04464634991404 -5.649247806652173 0, -56.47568239880306 -4.926555270644851 0)",92,fracture,0,1,0.9198,,-9999
"LINESTRING Z (-56.47568239880306 -4.926555270644851 0, -55.39337396658403 -3.5518175142454025 0)",93,fracture,0,1,1.7497,,-9999
"LINESTRING Z (-55.39337396658403 -3.5518175142454025 0, -55.35771052757254 -3.5065181571743165 0, -55.07423053447391 -3.1464445976460698 0)",94,fracture,0,1,0.5159,,-9999
"LINESTRING Z (-55.07423053447391 -3.1464445976460698 0, -53.897039221619785 -1.6511875192474472 0)",95,fracture,0,1,1.903,,-9999
"LINESTRING Z (-53.897039221619785 -1.6511875192474472 0, -52.73792111627562 -0.1788868551236899 0)",96,fracture,0,1,1.8738,,-9999
"LINESTRING Z (-52.73792111627562 -0.1788868551236899 0, -51.548751250056505 1.3315852664989134 0)",97,fracture,0,1,1.9224,,-9999
"LINESTRING Z (-51.548751250056505 1.3315852664989134 0, -50.233465038044855 3.0022491570285057 0)",98,fracture,0,1,2.1263,,-9999
"LINESTRING Z (-50.233465038044855 3.0022491570285057 0, -48.44859213584312 5.269377542973139 0)",99,fracture,0,1,2.8854,,-9999
"LINESTRING Z (-48.44859213584312 5.269377542973139 0, -42.04530346719401 13.40277319606665 0)",100,fracture,0,1,10.3515,,-9999
"LINESTRING Z (-42.04530346719401 13.40277319606665 0, -41.139591775220005 14.553199472258802 0)",101,fracture,0,1,1.4642,,-9999
"LINESTRING Z (-41.139591775220005 14.553199472258802 0, -40.88962209121846 14.870708559615348 0)",102,fracture,0,1,0.4041,,-9999
"LINESTRING Z (-40.88962209121846 14.870708559615348 0, -40.504565248012234 15.359804056755909 0)",103,fracture,0,1,0.6225,,-9999
"LINESTRING Z (-40.504565248012234 15.359804056755909 0, -38.917963618579854 17.37509017983785 0)",104,fracture,0,1,2.5649,,-9999
"LINESTRING Z (-38.917963618579854 17.37509017983785 0, -37.89988427671344 18.66824476369757 0)",105,fracture,0,1,1.6458,,-9999
"LINESTRING Z (-37.89988427671344 18.66824476369757 0, -37.512271022347115 19.160587389695348 0)",106,fracture,0,1,0.6266,,-9999
"LINESTRING Z (-37.512271022347115 19.160587389695348 0, -36.88927495568009 19.951910998973293 0)",107,fracture,0,1,1.0071,,-9999
"LINESTRING Z (-36.88927495568009 19.951910998973293 0, -36.01352028257638 21.06428615804928 0)",108,fracture,0,1,1.4157,,-9999
"LINESTRING Z (-36.01352028257638 21.06428615804928 0, -34.37824355193975 23.14139892631854 0)",109,fracture,0,1,2.6436,,-9999
"LINESTRING Z (-34.37824355193975 23.14139892631854 0, -34.183630077227654 23.38859508928502 0)",110,fracture,0,1,0.3146,,-9999
"LINESTRING Z (-34.183630077227654 23.38859508928502 0, -33.89128649730435 23.75992709151063 0)",111,fracture,0,1,0.4726,,-9999
"LINESTRING Z (-33.89128649730435 23.75992709151063 0, -33.45899745464801 24.309016473914312 0)",112,fracture,0,1,0.6988,,-9999
"LINESTRING Z (-33.45899745464801 24.309016473914312 0, -32.84676746626343 25.08666511415142 0)",113,fracture,0,1,0.9897,,-9999
"LINESTRING Z (-32.84676746626343 25.08666511415142 0, -32.21662169371291 25.887070211046552 0)",114,fracture,0,1,1.0187,,-9999
"LINESTRING Z (-32.21662169371291 25.887070211046552 0, -31.382432418851963 26.946649401225816 0)",115,fracture,0,1,1.3485,,-9999
"LINESTRING Z (-31.382432418851963 26.946649401225816 0, -30.610577431938435 27.92705217864823 0)",116,fracture,0,1,1.2478,,-9999
"LINESTRING Z (-30.610577431938435 27.92705217864823 0, -30.194196259327963 28.4559355375886 0)",117,fracture,0,1,0.6731,,-9999
"LINESTRING Z (-30.194196259327963 28.4559355375886 0, -29.472771751312322 29.372282005967868 0)",118,fracture,0,1,1.1663,,-9999
"LINESTRING Z (-29.472771751312322 29.372282005967868 0, -28.79708006914372 30.230539079007325 0)",119,fracture,0,1,1.0923,,-9999
"LINESTRING Z (-28.79708006914372 30.230539079007325 0, -27.034006338800634 32.46997836661344 0)",120,fracture,0,1,2.8502,,-9999
"LINESTRING Z (-27.034006338800634 32.46997836661344 0, -26.790422747073297 32.77937590101165 0)",121,fracture,0,1,0.3938,,-9999
"LINESTRING Z (-26.790422747073297 32.77937590101165 0, -26.1452310160551 33.598892229576975 0)",122,fracture,0,1,1.043,,-9999
"LINESTRING Z (-26.1452310160551 33.598892229576975 0, -25.52531185518605 34.38630758271698 0)",123,fracture,0,1,1.0022,,-9999
"LINESTRING Z (-25.52531185518605 34.38630758271698 0, -23.912728753120557 36.43459512233817 0)",124,fracture,0,1,2.6069,,-9999
"LINESTRING Z (-23.912728753120557 36.43459512233817 0, -22.44763079128768 38.29554845596973 0)",125,fracture,1,1,2.3685,,-9999
"LINESTRING Z (-61.74621752821921 -16.569902460191418 0, -61.216259760180805 -15.896755202596976 0)",126,fracture,1,1,0.8567,,-9999
"LINESTRING Z (-61.216259760180805 -15.896755202596976 0, -60.59602081699234 -15.108933665031879 0)",127,fracture,0,1,1.0027,,-9999
"LINESTRING Z (-60.59602081699234 -15.108933665031879 0, -60.22857775261348 -14.642211020274258 0)",128,fracture,0,1,0.594,,-9999
"LINESTRING Z (-60.22857775261348 -14.642211020274258 0, -58.36954676428476 -12.280887746896234 0)",129,fracture,0,1,3.0053,,-9999
"LINESTRING Z (-58.36954676428476 -12.280887746896234 0, -57.76042099427068 -11.507182054963875 0)",130,fracture,0,1,0.9847,,-9999
"LINESTRING Z (-57.76042099427068 -11.507182054963875 0, -56.68300485488435 -10.138658441845823 0)",131,fracture,0,1,1.7417,,-9999
"LINESTRING Z (-56.68300485488435 -10.138658441845823 0, -55.280501042572084 -8.35721159464094 0)",132,fracture,0,1,2.2673,,-9999
"LINESTRING Z (-55.280501042572084 -8.35721159464094 0, -52.97172851231999 -5.424630942221953 0)",133,fracture,0,1,3.7324,,-9999
"LINESTRING Z (-52.97172851231999 -5.424630942221953 0, -49.87645310600812 -1.4930419045321388 0)",134,fracture,0,1,5.0038,,-9999
"LINESTRING Z (-49.87645310600812 -1.4930419045321388 0, -48.806627130781536 -0.1341592448955944 0)",135,fracture,0,1,1.7295,,-9999
"LINESTRING Z (-48.806627130781536 -0.1341592448955944 0, -47.929446391217034 0.9800272900769718 0)",136,fracture,0,1,1.418,,-9999
"LINESTRING Z (-47.929446391217034 0.9800272900769718 0, -45.51729872454025 4.043914046084754 0)",137,fracture,0,1,3.8995,,-9999
"LINESTRING Z (-45.51729872454025 4.043914046084754 0, -44.9800483763866 4.726324268770792 0)",138,fracture,0,1,0.8685,,-9999
"LINESTRING Z (-44.9800483763866 4.726324268770792 0, -42.948303112768656 7.307027552727185 0)",139,fracture,0,1,3.2845,,-9999
"LINESTRING Z (-42.948303112768656 7.307027552727185 0, -39.65005519966198 11.496430315502536 0)",140,fracture,0,1,5.3319,,-9999
"LINESTRING Z (-39.65005519966198 11.496430315502536 0, -39.405373853652854 11.807222206826644 0)",141,fracture,0,1,0.3956,,-9999
"LINESTRING Z (-39.405373853652854 11.807222206826644 0, -38.72582526319538 12.670378287662624 0)",142,fracture,0,1,1.0986,,-9999
"LINESTRING Z (-38.72582526319538 12.670378287662624 0, -38.48659757555244 12.974242994606294 0)",143,fracture,0,1,0.3867,,-9999
"LINESTRING Z (-38.48659757555244 12.974242994606294 0, -37.82174786622607 13.818728698065351 0)",144,fracture,0,1,1.0748,,-9999
"LINESTRING Z (-37.82174786622607 13.818728698065351 0, -36.344070032982835 15.695660863316101 0, -36.32140032452509 15.72445570886631 0, -36.31968635227364 15.726632779927881 0)",145,fracture,0,1,2.4282,,-9999
"LINESTRING Z (-36.31968635227364 15.726632779927881 0, -35.225487122678295 17.116474112738917 0)",146,fracture,0,1,1.7689,,-9999
"LINESTRING Z (-35.225487122678295 17.116474112738917 0, -34.76410414949545 17.702518325749296 0)",147,fracture,0,1,0.7459,,-9999
"LINESTRING Z (-34.76410414949545 17.702518325749296 0, -31.753065865661355 21.527110181015598 0)",148,fracture,0,1,4.8676,,-9999
"LINESTRING Z (-31.753065865661355 21.527110181015598 0, -31.569694900850383 21.760026216083524 0)",149,fracture,0,1,0.2964,,-9999
"LINESTRING Z (-31.569694900850383 21.760026216083524 0, -31.414861209194676 21.956694481381426 0)",150,fracture,0,1,0.2503,,-9999
"LINESTRING Z (-31.414861209194676 21.956694481381426 0, -31.201619155997715 22.22755248549118 0)",151,fracture,0,1,0.3447,,-9999
"LINESTRING Z (-31.201619155997715 22.22755248549118 0, -30.708666631087855 22.85369603933617 0, -30.662859893940343 22.911879316098638 0)",152,fracture,0,1,0.871,,-9999
"LINESTRING Z (-30.662859893940343 22.911879316098638 0, -29.67758034144029 24.16337192311186 0)",153,fracture,0,1,1.5928,,-9999
"LINESTRING Z (-29.67758034144029 24.16337192311186 0, -28.808209892296574 25.26763790234424 0)",154,fracture,0,1,1.4054,,-9999
"LINESTRING Z (-28.808209892296574 25.26763790234424 0, -27.084913315535672 27.45655263221461 0)",155,fracture,0,1,2.7859,,-9999
"LINESTRING Z (-27.084913315535672 27.45655263221461 0, -23.98726270716112 31.391158628709743 0)",156,fracture,0,1,5.0077,,-9999
"LINESTRING Z (-23.98726270716112 31.391158628709743 0, -22.86495735183346 32.81670009198275 0)",157,fracture,0,1,1.8143,,-9999
"LINESTRING Z (-22.86495735183346 32.81670009198275 0, -22.679765204197427 33.05192937595126 0)",158,fracture,0,1,0.2994,,-9999
"LINESTRING Z (-22.679765204197427 33.05192937595126 0, -22.12899369317957 33.75151404960388 0)",159,fracture,0,1,0.8904,,-9999
"LINESTRING Z (-22.12899369317957 33.75151404960388 0, -21.54727674907062 34.49040531460517 0)",160,fracture,0,1,0.9404,,-9999
"LINESTRING Z (-21.54727674907062 34.49040531460517 0, -21.36717259831633 34.719171873892286 0)",161,fracture,0,1,0.2912,,-9999
"LINESTRING Z (-21.36717259831633 34.719171873892286 0, -20.84588705120727 35.381303759908256 0)",162,fracture,0,1,0.8427,,-9999
"LINESTRING Z (-20.84588705120727 35.381303759908256 0, -20.83205703471193 35.39887051378523 0, -20.644466677383566 35.637145980628844 0)",163,fracture,0,1,0.3256,,-9999
"LINESTRING Z (-20.644466677383566 35.637145980628844 0, -20.42531471040379 35.915510700359064 0)",164,fracture,0,1,0.3543,,-9999
"LINESTRING Z (-20.42531471040379 35.915510700359064 0, -19.894764371368517 36.589410635931884 0)",165,fracture,0,1,0.8577,,-9999
"LINESTRING Z (-19.894764371368517 36.589410635931884 0, -19.600603294928035 36.96305120474526 0)",166,fracture,0,1,0.4755,,-9999
"LINESTRING Z (-19.600603294928035 36.96305120474526 0, -19.166092237716867 37.51496296865579 0)",167,fracture,0,1,0.7024,,-9999
"LINESTRING Z (-19.166092237716867 37.51496296865579 0, -18.816220873645836 37.95936620876109 0)",168,fracture,0,1,0.5656,,-9999
"LINESTRING Z (-18.816220873645836 37.95936620876109 0, -18.405283744019886 38.481334596686274 0)",169,fracture,0,1,0.6643,,-9999
"LINESTRING Z (-18.405283744019886 38.481334596686274 0, -18.27252922930608 38.649958103883186 0, -18.24228055899766 38.68837967384971 0)",170,fracture,0,1,0.2635,,-9999
"LINESTRING Z (-18.24228055899766 38.68837967384971 0, -17.464710665487026 39.6760414706417 0)",171,fracture,0,1,1.257,,-9999
"LINESTRING Z (-17.464710665487026 39.6760414706417 0, -17.289158946478196 39.899025574930214 0)",172,fracture,0,1,0.2838,,-9999
"LINESTRING Z (-17.289158946478196 39.899025574930214 0, -17.054118113384412 40.19757217951235 0)",173,fracture,0,1,0.38,,-9999
"LINESTRING Z (-17.054118113384412 40.19757217951235 0, -16.91029689664358 40.3802525051378 0)",174,fracture,0,1,0.2325,,-9999
"LINESTRING Z (-16.91029689664358 40.3802525051378 0, -16.43164338918531 40.988233584604004 0)",175,fracture,0,1,0.7738,,-9999
"LINESTRING Z (-16.43164338918531 40.988233584604004 0, -15.693963236602642 41.92522781629698 0)",176,fracture,0,1,1.1925,,-9999
"LINESTRING Z (-15.693963236602642 41.92522781629698 0, -15.430649071847522 42.259686934703254 0)",177,fracture,1,1,0.4257,,-9999
"LINESTRING Z (-63.023022144147795 -23.140451580042416 0, -62.83939409454085 -22.907208998340376 0)",178,fracture,1,1,0.2969,,-9999
"LINESTRING Z (-62.83939409454085 -22.907208998340376 0, -61.66190403172534 -21.411572450615456 0)",179,fracture,0,1,1.9035,,-9999
"LINESTRING Z (-61.66190403172534 -21.411572450615456 0, -61.24672231861191 -20.88421263358675 0)",180,fracture,0,1,0.6712,,-9999
"LINESTRING Z (-61.24672231861191 -20.88421263358675 0, -61.1297396534467 -20.735622377926337 0)",181,fracture,0,1,0.1891,,-9999
"LINESTRING Z (-61.1297396534467 -20.735622377926337 0, -60.314048189745925 -19.699538929492796 0)",182,fracture,0,1,1.3186,,-9999
"LINESTRING Z (-60.314048189745925 -19.699538929492796 0, -59.75829224166242 -18.993623071840723 0)",183,fracture,0,1,0.8984,,-9999
"LINESTRING Z (-59.75829224166242 -18.993623071840723 0, -57.71596913535018 -16.39948391387632 0)",184,fracture,1,1,3.3016,,-9999
"LINESTRING Z (-47.54659566390812 -3.4824435823554043 0, -46.13971981212438 -1.6954434126825708 0, -46.13607928912328 -1.6908192553964658 0)",185,fracture,1,1,2.2802,,-9999
"LINESTRING Z (-46.13607928912328 -1.6908192553964658 0, -45.57017472786669 -0.9720127269440809 0)",186,fracture,0,1,0.9148,,-9999
"LINESTRING Z (-45.57017472786669 -0.9720127269440809 0, -45.10365321998312 -0.3794415966009404 0)",187,fracture,0,1,0.7542,,-9999
"LINESTRING Z (-45.10365321998312 -0.3794415966009404 0, -44.657623547070514 0.1871010021389481 0)",188,fracture,0,1,0.721,,-9999
"LINESTRING Z (-44.657623547070514 0.1871010021389481 0, -44.16922176632748 0.8074642445314764 0)",189,fracture,0,1,0.7895,,-9999
"LINESTRING Z (-44.16922176632748 0.8074642445314764 0, -42.69458295747878 2.6805362702384414 0)",190,fracture,0,1,2.3839,,-9999
"LINESTRING Z (-42.69458295747878 2.6805362702384414 0, -42.38412565373304 3.074876150169156 0)",191,fracture,0,1,0.5019,,-9999
"LINESTRING Z (-42.38412565373304 3.074876150169156 0, -39.26248861103794 7.039949484735595 0)",192,fracture,0,1,5.0464,,-9999
"LINESTRING Z (-39.26248861103794 7.039949484735595 0, -38.71613386296196 7.733924028598469 0)",193,fracture,0,1,0.8832,,-9999
"LINESTRING Z (-38.71613386296196 7.733924028598469 0, -38.710068279902245 7.741628473836574 0, -38.284174624702366 8.282594496630864 0)",194,fracture,0,1,0.6983,,-9999
