,type,U-nodes,length
474,network,0,0.347
475,network,0,0.395
476,network,1,7.492
477,network,1,6.197
478,network,0,1.257
479,network,1,0.816
480,network,1,0.742
481,network,0,0.197
482,network,1,0.596
483,network,0,0.243
484,network,1,0.394
485,network,1,0.716
486,network,0,0.336
487,network,1,2.039
488,network,0,0.627
489,network,0,0.365
490,network,1,0.644
491,network,0,0.491
492,network,1,0.83
493,network,0,0.573
494,network,0,0.175
495,network,1,0.898
496,network,0,0.421
497,network,0,0.164
498,network,1,0.536
499,network,0,0.963
500,network,0,0.7
501,network,0,2.049
502,network,0,0.361
503,network,0,0.783
504,network,0,0.922
505,network,0,0.238
506,network,0,0.879
507,network,0,1.143
508,network,1,0.684
509,network,1,0.799
510,network,0,2.169
511,network,1,1.496
512,network,0,2.201
513,network,0,0.612
514,network,0,0.539
515,network,0,0.606
516,network,0,0.781
517,network,1,0.263
518,network,0,0.238
519,network,0,0.605
520,network,1,0.656
521,network,1,1.005
522,network,1,0.561
523,network,0,0.251
524,network,1,2.491
525,network,1,1.079
526,network,0,0.269
527,network,0,0.407
528,network,0,0.13
529,network,0,1.858
530,network,0,1.186
531,network,0,0.232
532,network,0,0.147
533,network,0,0.116
534,network,0,0.473
535,network,1,0.613
536,network,1,0.773
537,network,1,0.936
538,network,1,0.624
539,network,0,1.048
540,network,0,0.548
541,network,1,0.512
542,network,1,0.975
543,network,1,0.379
544,network,0,2.824
545,network,0,1.214
546,network,0,0.706
547,network,0,0.193
548,network,0,1.664
549,network,0,0.346
550,network,0,1.492
551,network,0,0.284
552,network,0,1.435
553,network,0,0.565
554,network,0,1.197
555,network,0,0.959
556,network,0,0.536
557,network,0,0.633
558,network,0,0.241
559,network,1,4.91
560,network,0,0.96
561,network,0,0.604
562,network,0,0.535
563,network,0,0.935
564,network,0,0.232
565,network,0,0.421
566,network,0,1.12
567,network,0,0.72
568,network,0,0.895
569,network,0,0.521
570,network,0,0.251
571,network,0,2.177
572,network,0,0.715
573,network,0,0.187
574,network,0,1.422
575,network,0,0.138
576,network,0,0.639
577,network,0,0.282
578,network,0,0.315
579,network,0,1.264
580,network,0,1.755
581,network,0,0.926
582,network,0,0.755
583,network,0,0.914
584,network,1,0.925
585,network,0,0.763
586,network,1,1.332
587,network,0,0.645
588,network,0,0.474
589,network,0,1.684
590,network,1,1.485
591,network,0,0.117
592,network,1,0.625
593,network,1,0.286
594,network,0,1.17
595,network,0,0.567
596,network,0,0.313
597,network,1,0.819
598,network,1,0.562
599,network,0,3.143
600,network,1,2.045
601,network,1,3.17
602,network,0,2.62
603,network,0,0.215
604,network,1,0.837
605,network,0,0.972
606,network,0,0.519
607,network,1,2.45
608,network,0,0.781
609,network,0,1.338
610,network,0,0.383
611,network,1,2.043
612,network,1,6.588
613,network,0,1.21
614,network,0,0.792
615,network,0,1.34
616,network,0,0.58
617,network,0,0.51
618,network,0,0.298
619,network,0,0.85
620,network,0,1.248
621,network,0,0.244
622,network,1,0.463
623,network,0,0.43
624,network,1,0.467
625,network,1,0.66
626,network,0,0.314
627,network,0,2.72
628,network,0,0.199
629,network,1,2.729
630,network,0,0.285
631,network,0,0.411
632,network,1,0.491
633,network,0,0.423
634,network,0,1.209
635,network,1,0.931
636,network,0,0.369
637,network,0,0.242
638,network,1,1.397
639,network,0,3.762
640,network,1,1.947
641,network,0,0.782
642,network,0,0.324
643,network,0,0.153
644,network,0,0.757
645,network,0,0.595
646,network,0,0.498
647,network,0,0.322
648,network,0,0.237
649,network,0,0.896
650,network,0,0.433
651,network,0,3.708
652,network,0,0.417
653,network,0,0.991
654,network,0,0.329
655,network,1,2.896
656,network,1,1.618
657,network,0,0.137
658,network,1,3.246
659,network,1,2.724
660,network,0,0.5
661,network,0,0.627
662,network,1,10.668
663,network,0,0.603
664,network,0,1.084
665,network,0,0.277
666,network,0,0.818
667,network,0,0.526
668,network,0,0.489
669,network,1,0.986
670,network,1,0.351
671,network,1,3.106
672,network,1,1.181
673,network,0,1.141
674,network,0,0.525
675,network,1,0.35
676,network,0,2.109
677,network,1,0.422
678,network,0,0.127
679,network,1,4.867
680,network,1,2.845
681,network,0,0.858
682,network,1,0.407
683,network,1,1.069
684,network,1,0.981
685,network,0,2.602
686,network,1,0.418
687,network,0,0.88
688,network,0,0.264
689,network,0,0.435
690,network,0,0.737
691,network,0,0.712
692,network,0,0.228
693,network,0,0.526
694,network,0,0.951
695,network,1,2.568
696,network,0,0.794
697,network,1,2.527
698,network,1,2.139
699,network,1,0.56
700,network,1,0.577
701,network,0,0.363
702,network,0,0.778
703,network,0,0.352
704,network,0,0.419
705,network,1,2.608
706,network,0,4.483
707,network,0,0.215
708,network,0,2.292
709,network,0,0.273
710,network,0,0.48
711,network,0,0.543
712,network,1,1.865
713,network,0,1.833
714,network,0,1.362
715,network,0,1.145
716,network,1,2.688
717,network,1,1.723
718,network,1,0.271
719,network,0,4.242
720,network,1,2.549
721,network,1,1.055
722,network,0,0.444
723,network,0,0.653
724,network,1,1.108
725,network,0,0.829
726,network,0,1.146
727,network,0,0.723
728,network,1,2.325
729,network,0,2.914
730,network,0,2.577
731,network,0,0.582
732,network,1,0.894
733,network,1,1.143
734,network,1,1.471
735,network,1,1.09
736,network,1,0.77
737,network,1,0.46
738,network,1,0.378
739,network,1,0.616
740,network,1,1.102
741,network,1,0.537
742,network,1,1.333
743,network,0,0.303
744,network,0,0.221
745,network,0,0.391
746,network,0,0.323
747,network,0,0.976
748,network,0,0.326
749,network,0,0.119
750,network,0,0.323
751,network,0,0.571
752,network,0,0.586
753,network,0,0.197
754,network,0,0.852
755,network,0,0.827
756,network,0,1.033
757,network,1,0.337
758,network,0,0.591
759,network,0,0.782
760,network,1,0.977
761,network,0,0.31
762,network,1,0.906
763,network,0,0.431
764,network,0,0.47
765,network,0,0.264
766,network,0,0.184
767,network,0,0.261
768,network,0,0.621
769,network,0,0.914
770,network,0,0.233
771,network,0,2.334
772,network,0,0.254
773,network,0,0.327
774,network,0,1.809
775,network,0,1.712
776,network,1,0.557
777,network,0,0.601
778,network,0,0.198
779,network,0,0.516
780,network,0,0.349
781,network,1,0.539
782,network,1,0.919
783,network,1,0.367
784,network,0,0.8
785,network,0,0.29
786,network,0,0.185
787,network,0,0.31
788,network,0,0.517
789,network,0,0.218
790,network,1,1.241
791,network,0,0.655
792,network,0,0.489
793,network,1,1.211
794,network,0,2.34
795,network,1,0.525
796,network,0,1.396
797,network,0,1.53
798,network,0,0.946
799,network,0,0.318
800,network,0,1.994
801,network,0,0.367
802,network,0,0.329
803,network,0,1.503
804,network,0,1.436
805,network,0,1.558
806,network,0,3.274
807,network,0,1.901
808,network,0,1.159
809,network,0,1.837
810,network,1,14.487
811,network,0,1.235
812,network,1,0.737
813,network,0,0.975
814,network,1,3.397
815,network,0,0.725
816,network,1,2.144
817,network,0,0.278
818,network,0,0.226
819,network,0,2.31
820,network,1,0.97
821,network,0,0.719
822,network,1,2.072
823,network,0,0.757
824,network,0,0.359
825,network,0,1.07
826,network,0,0.304
827,network,0,1.234
828,network,0,0.753
829,network,0,1.015
830,network,0,0.89
831,network,0,3.581
832,network,0,1.625
833,network,0,1.882
834,network,0,0.833
835,network,0,0.551
836,network,1,3.917
837,network,0,0.711
838,network,0,1.809
839,network,0,0.35
840,network,0,1.431
841,network,0,0.85
842,network,0,1.188
843,network,0,0.316
844,network,0,4.032
845,network,0,0.585
846,network,0,0.418
847,network,1,0.854
848,network,1,1.657
849,network,0,0.745
850,network,1,3.579
851,network,0,0.577
852,network,0,1.935
853,network,0,0.633
854,network,0,1.368
855,network,1,1.12
856,network,0,0.609
857,network,0,1.255
858,network,1,0.647
859,network,1,0.41
860,network,0,1.313
861,network,1,0.245
862,network,0,0.213
863,network,0,0.673
864,network,0,0.883
865,network,0,1.292
866,network,0,2.987
867,network,0,1.384
868,network,0,0.563
869,network,0,0.405
870,network,0,0.563
871,network,0,1.199
872,network,1,0.725
873,network,0,0.745
874,network,0,0.349
