id,length,azimuth
,0.783,"101"
,0.922,"132"
,0.238,"172"
,0.879,"92"
,1.143,"87"
,0.684,"71"
,0.799,"35"
,2.169,"81"
,1.496,"102"
,2.201,"81"
,0.612,"90"
,0.539,"88"
,0.606,"77"
,0.781,"80"
,0.263,"141"
,0.238,"70"
,0.605,"74"
,0.656,"120"
,1.005,"83"
,0.561,"111"
,0.251,"24"
,2.491,"89"
,1.079,"79"
,0.269,"140"
,0.407,"13"
,0.130,"146"
,1.858,"84"
,1.186,"99"
,0.232,"92"
,0.147,"25"
,0.116,"70"
,0.473,"89"
,0.613,"86"
,0.773,"86"
,0.936,"136"
,0.624,"44"
,1.048,"124"
,0.548,"125"
,0.512,"125"
,0.975,"77"
,0.379,"23"
,2.824,"96"
,1.214,"105"
,0.706,"111"
,0.193,"142"
,1.664,"93"
,0.346,"56"
,1.492,"105"
,0.284,"54"
,1.435,"137"
,0.565,"110"
,1.197,"99"
,0.959,"105"
,0.536,"104"
,0.633,"104"
,0.241,"99"
,4.910,"93"
,0.960,"96"
,0.604,"41"
,0.535,"113"
,0.935,"87"
,0.232,"113"
,0.421,"111"
,1.120,"100"
,0.720,"110"
,0.895,"104"
,0.521,"108"
,0.251,"94"
,2.177,"136"
,0.715,"62"
,0.187,"118"
,1.422,"40"
,0.138,"126"
,0.639,"14"
,0.282,"51"
,0.315,"159"
,1.264,"140"
,1.755,"124"
,0.926,"130"
,0.755,"80"
,0.914,"129"
,0.925,"45"
,0.763,"126"
,1.332,"137"
,0.645,"61"
,0.474,"124"
,1.684,"87"
,1.485,"92"
,0.117,"128"
,0.625,"135"
,0.286,"140"
,1.170,"82"
,0.567,"99"
,0.313,"111"
,0.819,"93"
,0.562,"180"
,3.143,"82"
,2.045,"97"
,3.170,"125"
,2.620,"106"
,0.215,"107"
,0.837,"115"
,0.972,"101"
,0.519,"104"
,2.450,"100"
,0.781,"92"
,1.338,"117"
,0.383,"146"
,2.043,"100"
,6.588,"112"
,1.210,"96"
,0.792,"97"
,1.340,"101"
,0.580,"130"
,0.510,"109"
,0.298,"113"
,0.850,"105"
,1.248,"103"
,0.244,"108"
,0.463,"115"
,0.430,"112"
,0.467,"109"
,0.660,"93"
,0.314,"72"
,2.720,"99"
,0.199,"176"
,2.729,"102"
,0.285,"15"
,0.411,"36"
,0.491,"54"
,0.423,"6"
,1.209,"120"
,0.931,"128"
,0.369,"117"
,0.242,"26"
,1.397,"100"
,3.762,"139"
,1.947,"60"
,0.782,"108"
,0.324,"78"
,0.153,"131"
,0.757,"88"
,0.595,"112"
,0.498,"124"
,0.322,"108"
,0.237,"112"
,0.896,"96"
,0.433,"138"
,3.708,"115"
,0.417,"107"
,0.991,"89"
,0.329,"138"
,2.896,"96"
,1.618,"98"
,0.137,"141"
,3.246,"134"
,2.724,"129"
,0.500,"82"
,0.627,"72"
,10.668,"70"
,0.603,"70"
,1.084,"69"
,0.277,"81"
,0.818,"124"
,0.526,"115"
,0.489,"77"
,0.986,"142"
,0.351,"81"
,3.106,"69"
,1.181,"140"
,1.141,"62"
,0.525,"154"
,0.350,"173"
,2.109,"68"
,0.422,"28"
,0.127,"29"
,4.867,"104"
,2.845,"154"
