id;Fault;Set;dir;geometry;og_line_id;type;censored;f_set;length;b_group
;1.0;1.0;121.1817;LINESTRING (636968.9094355486 4518536.501856127, 636969.4106050327 4518536.2041890165, 636970.0892592062 4518535.814431152, 636970.2153361492 4518535.756075539, 636970.3601445238 4518535.66241838, 636970.5669107103 4518535.514728248, 636970.6720949028 4518535.431877686, 636970.8601296579 4518535.33173657, 636971.0604118875 4518535.202057429, 636971.3810075427 4518535.006097836);13;fracture;1;1;2.8923;-9999
;0.0;1.0;125.74568;LINESTRING (636971.7001082987 4518540.230496697, 636971.7001082988 4518540.230496697, 636971.7001082988 4518540.230496697, 636971.9613216992 4518540.057820826, 636972.2394114136 4518539.905808055, 636972.3777358311 4518539.772526715, 636972.5506413529 4518539.647890652, 636972.7019336845 4518539.543426899, 636972.7538053412 4518539.47570557, 636972.9195064662 4518539.368360058, 636973.0866484708 4518539.245164874, 636973.3524907107 4518539.061452757, 636973.5498911816 4518538.900794707, 636973.8027655074 4518538.712039513, 636973.9432512439 4518538.616221036, 636974.0621237902 4518538.515359482, 636974.3236433921 4518538.320840769, 636974.5685928814 4518538.161623601, 636974.6564865217 4518538.102547548);14;fracture;1;1;3.6527;-9999
;1.0;1.0;119.98775;LINESTRING (636971.1684204739 4518524.729438956, 636971.2785578249 4518524.661669244, 636971.5226571384 4518524.479285605, 636971.7557028981 4518524.3530908665, 636972.1349476594 4518524.154115002, 636974.6939493835 4518522.615255857, 636975.691037893 4518522.11959336);15;fracture;1;1;5.2269;-9999
;1.0;1.0;122.82127;LINESTRING (636972.9929731581 4518541.906268589, 636973.3769856578 4518541.643508539, 636973.7948406691 4518541.274643426, 636973.9446921215 4518541.147846043, 636974.1320064368 4518540.91154183, 636974.4518816523 4518540.709818721, 636974.8985542505 4518540.588784856, 636975.4086255401 4518540.366889436, 636975.6708655816 4518540.127703464, 636975.7573183426 4518539.954797942, 636976.2385720452 4518539.689676141, 636976.6074371586 4518539.387091478, 636977.2097247265 4518539.023989882, 636977.6880966704 4518538.76174984, 636978.3681917231 4518538.271850863, 636978.7975737692 4518538.049955443, 636979.1001584325 4518537.878490799, 636979.634724671 4518537.601841965, 636979.9301049375 4518537.430377322, 636979.9906218703 4518537.392914459);16;fracture;1;1;8.4252;-9999
;1.0;1.0;115.91288;LINESTRING (636979.8652653664 4518537.194073106, 636981.0150870869 4518536.54279564, 636981.9314863529 4518536.003906764, 636982.4876657818 4518535.77048431, 636982.695152408 4518535.72437617, 636983.0236728996 4518535.609105823, 636983.8248018177 4518535.269058296, 636984.5567105387 4518534.987769895, 636984.7602062894 4518534.896864006, 636985.0787938992 4518534.730898209, 636985.263387827 4518534.618447416, 636985.4474214476 4518534.5098884795, 636985.6709331739 4518534.38812463, 636985.8919429029 4518534.295550744, 636986.1287986127 4518534.198806862, 636986.5141061407 4518534.02116508, 636986.841867739 4518533.887725243, 636987.034521503 4518533.7843093695, 636987.2146652823 4518533.691735484, 636987.5607748582 4518533.491575728, 636987.6900446998 4518533.429859804, 636988.0303162829 4518533.218024065, 636988.3047019467 4518533.093758217);17;fracture;0;1;9.4092;-9999
;1.0;1.0;124.08303;LINESTRING (636983.0593947836 4518536.897433585, 636983.2985264767 4518536.757647043, 636983.5332623668 4518536.605112673, 636983.6664552033 4518536.505767519, 636983.7895002736 4518536.408073421, 636983.9004479835 4518536.353320005, 636984.0474176771 4518536.278394279, 636984.277958373 4518536.101166119, 636984.5474028112 4518535.910970045, 636984.7707391103 4518535.739505402);18;fracture;0;1;2.0711;-9999
;1.0;1.0;122.29902;LINESTRING (636984.6064788643 4518535.977250494, 636985.0488288245 4518535.653052641, 636985.4234574554 4518535.4325981, 636985.8960658818 4518535.153067507, 636986.3729969463 4518534.828869653, 636986.8038198717 4518534.534930267, 636987.1150498112 4518534.3303253995, 636987.4983237181 4518534.102666461, 636987.7187782585 4518533.9701055605, 636988.0285673186 4518533.732360468, 636988.3282702232 4518533.5291964775, 636988.71154413 4518533.344763921, 636989.165421125 4518533.078201241, 636989.3714668719 4518532.918263634, 636989.7734722103 4518532.666109748, 636990.0371531311 4518532.521301374, 636990.186284144 4518532.449977847);19;fracture;0;1;6.6117;-9999
;0.0;1.0;111.5232;LINESTRING (636974.643967239 4518544.161787984, 636974.6439672391 4518544.161787984, 636974.6439672391 4518544.161787984, 636975.4489701609 4518543.733504026, 636976.564210777 4518543.243605047, 636977.129035482 4518543.076463044, 636978.140532785 4518542.719124964, 636978.4200633788 4518542.603854617, 636978.895553564 4518542.454003165, 636979.0108239119 4518542.439594371);20;fracture;1;1;4.7088;-9999
;0.0;1.0;123.80588;LINESTRING (636966.6122666798 4518533.431037813, 636966.6122666799 4518533.431037813, 636966.6122666799 4518533.431037813, 636967.2474849059 4518532.973017045, 636967.7316203672 4518532.566689068, 636968.1523571371 4518532.376492995, 636968.5702121484 4518532.120016471);21;fracture;1;1;2.3672;-9999
;0.0;1.0;122.73926;LINESTRING (636972.8582690905 4518532.984544082, 636973.4346208302 4518532.641614797, 636973.7487325283 4518532.460063999, 636973.9101110154 4518532.304449028, 636974.4230640637 4518532.004746124, 636974.9244900772 4518531.656053321);22;fracture;0;1;2.4625;-9999
;1.0;1.0;116.94348;LINESTRING (636973.474965452 4518532.797229766, 636973.6651615261 4518532.65602359, 636974.0052090525 4518532.510494775, 636974.2515994211 4518532.357761565, 636974.6536047595 4518532.154597576, 636974.8971133695 4518532.01483228, 636975.1910527567 4518531.847690275, 636975.6103486473 4518531.599859027, 636976.0267627792 4518531.3722000895, 636976.430208997 4518531.167595222, 636977.0152060128 4518530.879419352, 636977.59732127 4518530.684900639, 636977.9056694508 4518530.5465762215, 636978.5151614154 4518530.265604748, 636978.8350366309 4518530.111430658, 636979.1347395355 4518529.978869758, 636979.206783503 4518529.911148428, 636979.4733461826 4518529.781469286, 636979.7773717252 4518529.647467507, 636979.961804282 4518529.561014746, 636980.5280698662 4518529.222408099, 636980.8616334355 4518529.018523672, 636981.1289165547 4518528.854983865, 636981.2953381196 4518528.777896821, 636981.631063008 4518528.628045368, 636981.9358089903 4518528.492602709, 636982.0417136224 4518528.442892372);23;fracture;0;1;9.6346;-9999
;0.0;1.0;115.63486;LINESTRING (636977.1261537225 4518536.420320885, 636977.4993414739 4518536.271910313, 636977.8220984482 4518536.155199085, 636978.4503218443 4518535.858377939, 636978.6376361598 4518535.763279902, 636978.7226480413 4518535.714290004, 636979.1246533798 4518535.552911517, 636979.2341602102 4518535.4866310675, 636979.3004406603 4518535.408823582, 636979.3090859364 4518535.372801598);24;fracture;0;1;2.4483;-9999
;0.0;1.0;119.86205;LINESTRING (636970.417419473 4518538.433229336, 636971.1061598018 4518538.022578721, 636971.5542732794 4518537.78051099);25;fracture;0;1;1.3112;-9999
;0.0;1.0;117.64049;LINESTRING (636972.489403977 4518537.217127163, 636972.889968436 4518537.006758778, 636973.3654586212 4518536.684001803, 636973.8409488064 4518536.450579349, 636974.2588038177 4518536.225802171, 636974.5556249636 4518536.122058858, 636974.7083581745 4518536.032724338, 636974.7400575202 4518536.038487855);26;fracture;0;1;2.5549;-9999
;0.0;1.0;118.64047;LINESTRING (636964.5098141412 4518521.978387164, 636965.4723215466 4518521.479842909, 636965.5741574289 4518521.3971127495, 636965.5741574289 4518521.3971127495, 636965.574157429 4518521.3971127495);27;fracture;1;1;1.2152;-9999
;0.0;1.0;126.41404;LINESTRING (636966.9697829715 4518520.193162697, 636967.5760053964 4518519.733497137, 636968.238809897 4518519.232071124, 636968.69700953 4518518.935249978, 636968.7805805323 4518518.857442494);28;fracture;1;1;2.252;-9999
;1.0;1.0;127.53967;LINESTRING (636966.2509207951 4518517.10286519, 636966.2509207954 4518517.10286519, 636966.2509207954 4518517.10286519, 636966.841156928 4518516.664424123, 636967.3166471132 4518516.344548908, 636967.8555359897 4518515.969920278, 636968.4462965229 4518515.419504366, 636968.7258271166 4518515.088102115, 636969.2820065453 4518514.716355244, 636969.8237771806 4518514.402243545, 636970.0888989809 4518514.1544122975, 636970.4779364051 4518513.854709392);29;fracture;1;1;5.3549;-9999
;1.0;1.0;123.88025;LINESTRING (636988.75260919 4518540.204070051, 636990.2741777826 4518539.25308968, 636991.1934588073 4518538.743018392, 636991.4787529184 4518538.604693974, 636991.625722612 4518538.451960763, 636991.7669287883 4518538.281937, 636992.447023841 4518537.849673196, 636993.6458354595 4518537.198395729, 636994.0752175055 4518536.838175892, 636994.7898936627 4518536.403030328, 636995.464225198 4518535.924658384, 636996.0866850768 4518535.428995888, 636996.3489251183 4518535.103357155);30;fracture;0;1;9.2036;-9999
