geometry,original_line_id,type,censored,f_set,length,id,b_group
"LINESTRING Z (-21.482496454110382 24.675163628993403 0, -18.201361628423694 28.842829512793692 0)",90,fracture,0,1,5.304270417628316,,-9999
"LINESTRING Z (-18.201361628423694 28.842829512793692 0, -18.066629157720303 29.013965400656247 0, -16.77555323167429 30.653877618908886 0)",91,fracture,0,1,2.3049565780952435,,-9999
"LINESTRING Z (-16.77555323167429 30.653877618908886 0, -15.65115282295497 32.082080198840934 0)",92,fracture,0,1,1.817701539981945,,-9999
"LINESTRING Z (-15.65115282295497 32.082080198840934 0, -14.495168641554248 33.55040018292703 0)",93,fracture,0,1,1.8687597500254771,,-9999
"LINESTRING Z (-14.495168641554248 33.55040018292703 0, -14.28079108357646 33.82270049428331 0)",94,fracture,0,1,0.3465619669398937,,-9999
"LINESTRING Z (-14.28079108357646 33.82270049428331 0, -13.652672928361762 34.62053013114867 0)",95,fracture,0,1,1.0154134854191303,,-9999
"LINESTRING Z (-13.652672928361762 34.62053013114867 0, -13.36942062402832 34.98031448259824 0)",96,fracture,0,1,0.45790462703295715,,-9999
"LINESTRING Z (-13.36942062402832 34.98031448259824 0, -11.911339381958841 36.83235524630271 0)",97,fracture,1,1,2.3571287404165946,,-9999
"LINESTRING Z (-64.54851567121246 -34.975643772432505 0, -59.59382451104665 -28.682242735896832 0)",98,fracture,1,1,8.009735395086,,-9999
"LINESTRING Z (-49.6905727005035 -16.1032275773697 0, -47.71887663266132 -13.598798204081364 0)",99,fracture,1,1,3.1874365671701974,,-9999
"LINESTRING Z (-47.71887663266132 -13.598798204081364 0, -43.970499540136935 -8.837645688849687 0)",100,fracture,0,1,6.059612537205535,,-9999
"LINESTRING Z (-43.970499540136935 -8.837645688849687 0, -42.53196313960745 -7.010430594804631 0)",101,fracture,0,1,2.325532621907165,,-9999
"LINESTRING Z (-42.53196313960745 -7.010430594804631 0, -40.175333115961834 -4.017061814772314 0, -40.15231482133314 -3.9878241984219485 0)",102,fracture,0,1,3.8469306656241202,,-9999
"LINESTRING Z (-40.15231482133314 -3.9878241984219485 0, -38.61057673514596 -2.029523316283368 0)",103,fracture,0,1,2.4923680850518153,,-9999
"LINESTRING Z (-38.61057673514596 -2.029523316283368 0, -36.154192507162215 1.0905522942427708 0, -36.149744440853794 1.096202185267476 0)",104,fracture,0,1,3.9781723808397906,,-9999
"LINESTRING Z (-36.149744440853794 1.096202185267476 0, -35.755330732317255 1.597182682716823 0)",105,fracture,0,1,0.6376077417238138,,-9999
"LINESTRING Z (-35.755330732317255 1.597182682716823 0, -35.06082245221418 2.4793404173952833 0)",106,fracture,0,1,1.122739515642324,,-9999
"LINESTRING Z (-35.06082245221418 2.4793404173952833 0, -33.43273902207642 4.547316324586376 0)",107,fracture,0,1,2.6319536485682966,,-9999
"LINESTRING Z (-33.43273902207642 4.547316324586376 0, -32.324617224475496 5.954841969312141 0)",108,fracture,0,1,1.7913855974856392,,-9999
"LINESTRING Z (-32.324617224475496 5.954841969312141 0, -32.00428059804669 6.361730469853905 0)",109,fracture,0,1,0.5178550049047637,,-9999
"LINESTRING Z (-32.00428059804669 6.361730469853905 0, -28.38695077161458 10.956428008660223 0)",110,fracture,0,1,5.8477620117706754,,-9999
"LINESTRING Z (-28.38695077161458 10.956428008660223 0, -25.53338223790607 14.581003302524904 0)",111,fracture,0,1,4.613068332191228,,-9999
"LINESTRING Z (-25.53338223790607 14.581003302524904 0, -24.715528984233913 15.619832635778888 0)",112,fracture,0,1,1.3221385434859136,,-9999
"LINESTRING Z (-24.715528984233913 15.619832635778888 0, -24.636507167713955 15.720205386757575 0)",113,fracture,0,1,0.12774637617225604,,-9999
"LINESTRING Z (-24.636507167713955 15.720205386757575 0, -23.24968949619641 17.48172784886043 0, -23.19985173208845 17.545031297280648 0, -23.194824083808765 17.55141736774839 0)",114,fracture,0,1,2.3306195386082815,,-9999
"LINESTRING Z (-23.194824083808765 17.55141736774839 0, -18.58487539323217 23.406929836598238 0)",115,fracture,0,1,7.452425994439992,,-9999
"LINESTRING Z (-18.58487539323217 23.406929836598238 0, -15.58167742974575 27.221562992400184 0)",116,fracture,0,1,4.854958714678479,,-9999
"LINESTRING Z (-15.58167742974575 27.221562992400184 0, -14.169623958876015 29.015139724015885 0)",117,fracture,0,1,2.2827204158171726,,-9999
"LINESTRING Z (-14.169623958876015 29.015139724015885 0, -13.044445372101876 30.44433073822536 0)",118,fracture,0,1,1.8189595397457738,,-9999
"LINESTRING Z (-13.044445372101876 30.44433073822536 0, -12.475669088788255 31.166784900402256 0)",119,fracture,0,1,0.9194816348936916,,-9999
"LINESTRING Z (-12.475669088788255 31.166784900402256 0, -11.875420321982224 31.929215108276185 0)",120,fracture,0,1,0.970359935246115,,-9999
"LINESTRING Z (-11.875420321982224 31.929215108276185 0, -11.6810487064753 32.176104064007475 0)",121,fracture,0,1,0.3142204343718885,,-9999
"LINESTRING Z (-11.6810487064753 32.176104064007475 0, -10.933664172772717 33.12542470722132 0)",122,fracture,0,1,1.2082190715469507,,-9999
"LINESTRING Z (-10.933664172772717 33.12542470722132 0, -10.812949518358396 33.278755299715954 0)",123,fracture,0,1,0.19514686363127734,,-9999
"LINESTRING Z (-10.812949518358396 33.278755299715954 0, -5.752435931330093 39.70657096460616 0)",124,fracture,1,1,8.180807538764492,,-9999
"LINESTRING Z (-63.31625668732602 -38.35920445054955 0, -62.58807843467525 -37.43427944072074 0)",125,fracture,1,1,1.177170268669887,,-9999
"LINESTRING Z (-62.58807843467525 -37.43427944072074 0, -57.20047180615582 -30.59099334188829 0)",126,fracture,1,1,8.709584939257443,,-9999
"LINESTRING Z (-49.740726193895405 -21.11569624447625 0, -48.340684530918686 -19.337376795666056 0)",127,fracture,1,1,2.2633021716260533,,-9999
