type,node_type,Y_node_origin,geometry,id,length,azimuth,censored,set,Area,group
node,1.0,,POINT Z (-18.37411827692995 -3.935917924158275 0),,,,,,,
node,1.0,,POINT Z (-19.661057033808902 -0.9780951468273997 0),,,,,,,
node,1.0,,POINT Z (-18.808915214205626 -1.9686498325318098 0),,,,,,,
node,1.0,,POINT Z (-18.429784319887403 -1.9168954566121101 0),,,,,,,
node,1.0,,POINT Z (-17.1744398031733 -2.594516704790294 0),,,,,,,
node,1.0,,POINT Z (-17.704019465192687 -2.6992290476337075 0),,,,,,,
node,1.0,,POINT Z (-16.457701873849146 -1.6957357646897435 0),,,,,,,
node,1.0,,POINT Z (-16.411363653256558 -2.283689551986754 0),,,,,,,
node,1.0,,POINT Z (-15.63143724220572 -2.700131739489734 0),,,,,,,
node,1.0,,POINT Z (-15.300449953530915 -2.7338322633877397 0),,,,,,,
node,1.0,,POINT Z (-14.815704023931175 -2.262024932540953 0),,,,,,,
node,1.0,,POINT Z (-14.615908060630318 -1.7228165501728654 0),,,,,,,
node,1.0,,POINT Z (-12.936760718293954 -2.3743146443739533 0),,,,,,,
node,1.0,,POINT Z (-18.62386322830571 1.7480365224182606 0),,,,,,,
node,1.0,,POINT Z (-19.028871310700197 1.5771267227828503 0),,,,,,,
node,1.0,,POINT Z (-18.931380509224255 1.8828386180102825 0),,,,,,,
node,1.0,,POINT Z (-19.271996518888045 2.231879759579897 0),,,,,,,
node,1.0,,POINT Z (-13.340704305563122 -1.5221178876236081 0),,,,,,,
node,1.0,,POINT Z (-12.015551560441963 -0.6711796540766954 0),,,,,,,
node,1.0,,POINT Z (-11.820569957315456 0.9867657646536827 0),,,,,,,
node,1.0,,POINT Z (-15.147744451707695 0.9856374021619558 0),,,,,,,
node,1.0,,POINT Z (-13.684178840718232 1.0578528102487326 0),,,,,,,
node,1.0,,POINT Z (-14.560448570293374 3.832875491119921 0),,,,,,,
node,1.0,,POINT Z (-14.67769854789367 3.572252484038472 0),,,,,,,
node,1.0,,POINT Z (-15.078049508330878 3.241157985292375 0),,,,,,,
node,1.0,,POINT Z (-20.97001276939409 3.3480802504345775 0),,,,,,,
node,1.0,,POINT Z (-20.408670907723717 4.828285284340382 0),,,,,,,
node,1.0,,POINT Z (-23.893364548042882 9.2685966193676 0),,,,,,,
node,1.0,,POINT Z (-21.657109790772665 8.266807946376503 0),,,,,,,
node,1.0,,POINT Z (-21.653464713832363 8.75524826720357 0),,,,,,,
node,1.0,,POINT Z (-23.16981675790157 8.223067020997405 0),,,,,,,
node,1.0,,POINT Z (-21.00950110523263 8.711507342755795 0),,,,,,,
node,1.0,,POINT Z (-12.351228135288693 -1.7407510364428163 0),,,,,,,
node,1.0,,POINT Z (-9.493487744475715 1.9857327118515968 0),,,,,,,
node,1.0,,POINT Z (-22.621840177976992 5.007805325090885 0),,,,,,,
node,1.0,,POINT Z (-22.918913955858443 6.5709358574822545 0),,,,,,,
node,1.0,,POINT Z (-23.277346530230716 7.645322309806943 0),,,,,,,
node,1.0,,POINT Z (-24.39395512692863 7.432085303589702 0),,,,,,,
node,1.0,,POINT Z (-23.35024807084119 7.113748573698103 0),,,,,,,
node,1.0,,POINT Z (-21.897077361820266 7.953938827849925 0),,,,,,,
node,1.0,,POINT Z (-21.558692710998002 8.043850727379322 0),,,,,,,
node,1.0,,POINT Z (-20.87949335790472 8.11918231844902 0),,,,,,,
node,1.0,,POINT Z (11.277376193669625 -25.13364039361477 0),,,,,,,
node,1.0,,POINT Z (16.03055663977284 -20.567573902197182 0),,,,,,,
node,1.0,,POINT Z (13.77546898444416 -21.15564632974565 0),,,,,,,
node,1.0,,POINT Z (16.54086742392974 -18.657553537748754 0),,,,,,,
node,1.0,,POINT Z (14.533645006420556 -16.52882855106145 0),,,,,,,
node,1.0,,POINT Z (13.2044069164549 -17.537299862131476 0),,,,,,,
node,1.0,,POINT Z (2.536481477203779 -21.145926118828356 0),,,,,,,
node,1.0,,POINT Z (8.278692823951133 -16.798564247787 0),,,,,,,
node,1.0,,POINT Z (-22.789513721480034 9.169572017155588 0),,,,,,,
node,1.0,,POINT Z (-20.778038714663126 5.078580561093986 0),,,,,,,
node,1.0,,POINT Z (-19.90200520202052 5.215270948596299 0),,,,,,,
node,1.0,,POINT Z (-19.88013473979663 5.1369017930701375 0),,,,,,,
node,1.0,,POINT Z (-20.905312654096633 5.3082204116508365 0),,,,,,,
node,1.0,,POINT Z (-20.569965567498002 5.834326528944075 0),,,,,,,
node,1.0,,POINT Z (-12.793497482140083 1.2269491674378514 0),,,,,,,
node,1.0,,POINT Z (-12.1738343872712 1.2791952714323997 0),,,,,,,
node,1.0,,POINT Z (-12.218790337326936 1.0301150055602193 0),,,,,,,
node,1.0,,POINT Z (-11.916248943947721 1.0483403904363513 0),,,,,,,
node,1.0,,POINT Z (-11.741285246505868 0.7773896651342511 0),,,,,,,
node,1.0,,POINT Z (-5.931032462161966 1.8806329779326916 0),,,,,,,
node,1.0,,POINT Z (-5.780369278276339 2.1084502916783094 0),,,,,,,
node,1.0,,POINT Z (-6.045852388546336 2.0847572907805443 0),,,,,,,
node,1.0,,POINT Z (7.768685795424972 7.11435607355088 0),,,,,,,
node,1.0,,POINT Z (-5.175894005806185 2.3180422177538276 0),,,,,,,
node,1.0,,POINT Z (-3.529534214292653 3.003924213349819 0),,,,,,,
node,1.0,,POINT Z (-2.064213248551823 2.9686884693801403 0),,,,,,,
node,1.0,,POINT Z (-2.598824546148535 3.161877552047372 0),,,,,,,
node,1.0,,POINT Z (-0.7361901841359213 3.271229861304164 0),,,,,,,
node,1.0,,POINT Z (-1.4457651791744865 2.7305434364825487 0),,,,,,,
node,1.0,,POINT Z (-0.9889155248529278 2.8180252853780985 0),,,,,,,
node,1.0,,POINT Z (4.061946212023031 5.843439219519496 0),,,,,,,
node,1.0,,POINT Z (5.0096662396681495 5.9600816844031215 0),,,,,,,
node,1.0,,POINT Z (4.654878742177971 7.1295438995584846 0),,,,,,,
node,1.0,,POINT Z (-23.544044668611605 4.445248422212899 0),,,,,,,
node,1.0,,POINT Z (12.552241881552618 -15.911291759461164 0),,,,,,,
node,1.0,,POINT Z (12.994511227763724 -15.75698349904269 0),,,,,,,
node,1.0,,POINT Z (8.4648955060984 -23.63642501179129 0),,,,,,,
node,1.0,,POINT Z (8.5280768412631 -23.29986289795488 0),,,,,,,
node,1.0,,POINT Z (8.75407161709154 -23.049567609094083 0),,,,,,,
node,1.0,,POINT Z (8.357973246602342 -23.11639402154833 0),,,,,,,
node,1.0,,POINT Z (8.586398073763121 -22.900119450874627 0),,,,,,,
node,1.0,,POINT Z (-14.154022485716268 0.0164798330515623 0),,,,,,,
node,1.0,,POINT Z (-18.986179601284675 10.846611198969185 0),,,,,,,
node,1.0,,POINT Z (-18.846451648510993 10.929840457625687 0),,,,,,,
node,1.0,,POINT Z (-13.911624864325859 12.38179614301771 0),,,,,,,
node,1.0,,POINT Z (-20.921107991889585 7.843067729845643 0),,,,,,,
node,1.0,,POINT Z (-19.011998898233287 6.523397961631417 0),,,,,,,
node,1.0,,POINT Z (-18.90173531830078 6.270368864759803 0),,,,,,,
node,1.0,,POINT Z (-17.808212209434714 5.647060693241656 0),,,,,,,
node,1.0,,POINT Z (-17.05611131567275 6.1415761429816484 0),,,,,,,
node,1.0,,POINT Z (-21.179908461519517 3.958175003528595 0),,,,,,,
node,1.0,,POINT Z (22.266068405879196 -8.350642613135278 0),,,,,,,
node,1.0,,POINT Z (24.246560258499812 -7.077295704744756 0),,,,,,,
node,1.0,,POINT Z (24.585552422271576 -6.791157157160342 0),,,,,,,
node,1.0,,POINT Z (25.234376133419573 -6.44001473672688 0),,,,,,,
node,1.0,,POINT Z (-15.679790981579572 6.795867465436459 0),,,,,,,
node,1.0,,POINT Z (-15.422205538139679 6.945315623655915 0),,,,,,,
node,1.0,,POINT Z (-15.619039697689004 6.671934847719967 0),,,,,,,
node,1.0,,POINT Z (-15.419167973974254 6.877881699241698 0),,,,,,,
node,1.0,,POINT Z (-15.516370028082747 6.702918002381921 0),,,,,,,
node,1.0,,POINT Z (-15.06012788665248 6.990271574817598 0),,,,,,,
node,1.0,,POINT Z (-15.448328590078745 6.650671899318695 0),,,,,,,
node,1.0,,POINT Z (-14.79464477620786 6.6543169766664505 0),,,,,,,
node,1.0,,POINT Z (-12.371883577434346 6.738153747282922 0),,,,,,,
node,1.0,,POINT Z (-16.962250582990237 6.164054114371538 0),,,,,,,
node,1.0,,POINT Z (-13.151322548801545 6.173774317838252 0),,,,,,,
node,1.0,,POINT Z (-12.80914094275795 6.221464076079428 0),,,,,,,
node,1.0,,POINT Z (-10.346587653330062 5.900697303935885 0),,,,,,,
node,1.0,,POINT Z (-10.373690218606498 5.943695602938533 0),,,,,,,
node,1.0,,POINT Z (-10.631814931170084 5.995013670064509 0),,,,,,,
node,1.0,,POINT Z (-16.753114289953373 4.845599373802543 0),,,,,,,
node,1.0,,POINT Z (-16.93050803861115 5.259923129342496 0),,,,,,,
node,1.0,,POINT Z (-12.889940151886549 5.622608292847872 0),,,,,,,
node,1.0,,POINT Z (-13.53147370921215 5.697939884848893 0),,,,,,,
node,1.0,,POINT Z (-13.24715770088369 6.0187066635116935 0),,,,,,,
node,1.0,,POINT Z (-13.612880429485813 5.6335435239598155 0),,,,,,,
node,1.0,,POINT Z (-13.55698924837634 5.7100901417434216 0),,,,,,,
node,1.0,,POINT Z (-14.422087529907003 5.563072035089135 0),,,,,,,
node,1.0,,POINT Z (-14.126836290524807 6.017491638660431 0),,,,,,,
node,1.0,,POINT Z (-10.430728183011524 6.300592623651028 0),,,,,,,
node,1.0,,POINT Z (-16.064194731996395 7.547208968549967 0),,,,,,,
node,1.0,,POINT Z (-15.629215539840516 7.556929173879325 0),,,,,,,
node,1.0,,POINT Z (-16.233083300990984 7.3430846547707915 0),,,,,,,
node,1.0,,POINT Z (-15.544163742451929 7.381965477019548 0),,,,,,,
node,1.0,,POINT Z (-15.567249230400193 7.621325534768403 0),,,,,,,
node,1.0,,POINT Z (-4.16256259707734 10.004750275984406 0),,,,,,,
node,1.0,,POINT Z (-3.7555289954761975 10.005965301766992 0),,,,,,,
node,1.0,,POINT Z (-15.305563075293321 6.503046277910471 0),,,,,,,
node,1.0,,POINT Z (-16.812194914207794 2.8190884329378605 0),,,,,,,
node,1.0,,POINT Z (-17.63901988696307 4.312354991212487 0),,,,,,,
node,1.0,,POINT Z (0.1999870941508561 -22.7778574898839 0),,,,,,,
node,1.0,,POINT Z (1.2327589190681465 -22.068282494321465 0),,,,,,,
node,1.0,,POINT Z (-10.278394338907674 10.683342128060758 0),,,,,,,
node,1.0,,POINT Z (-4.939571516937576 12.04113332182169 0),,,,,,,
node,1.0,,POINT Z (-2.025939945189748 12.534433747641742 0),,,,,,,
node,1.0,,POINT Z (-4.764607819903176 13.283497078344226 0),,,,,,,
node,1.0,,POINT Z (-4.310795729747042 13.483368800021708 0),,,,,,,
node,1.0,,POINT Z (-4.24518434330821 10.803629668429494 0),,,,,,,
node,1.0,,POINT Z (-16.52727139327908 17.62022747192532 0),,,,,,,
node,1.0,,POINT Z (-15.404587668308523 17.264832460321486 0),,,,,,,
node,1.0,,POINT Z (-18.106804772629403 16.962291068397462 0),,,,,,,
node,1.0,,POINT Z (-17.639019887254108 17.07711099460721 0),,,,,,,
node,1.0,,POINT Z (-17.12141894910019 17.096551405265927 0),,,,,,,
node,1.0,,POINT Z (-17.07585548615316 17.351099284365773 0),,,,,,,
node,1.0,,POINT Z (-16.492643161443993 17.489004698581994 0),,,,,,,
node,1.0,,POINT Z (-19.440902965085115 16.86022891011089 0),,,,,,,
node,1.0,,POINT Z (-20.516200688609388 16.601428440771997 0),,,,,,,
node,1.0,,POINT Z (-20.295066015503835 16.682835161685944 0),,,,,,,
node,1.0,,POINT Z (-20.0490233162418 16.643954338505864 0),,,,,,,
node,1.0,,POINT Z (-19.468848555756267 16.80616026557982 0),,,,,,,
node,1.0,,POINT Z (-18.90082405193243 16.65914216078818 0),,,,,,,
node,1.0,,POINT Z (-18.65812267328147 16.777910922653973 0),,,,,,,
node,1.0,,POINT Z (-18.676044302119408 16.755736705847085 0),,,,,,,
node,1.0,,POINT Z (-17.235631362942513 16.623298906721175 0),,,,,,,
node,1.0,,POINT Z (-15.524875210423488 17.93431161157787 0),,,,,,,
node,1.0,,POINT Z (-13.707196798466612 18.128715720027685 0),,,,,,,
node,1.0,,POINT Z (-15.397297514486127 17.330443852581084 0),,,,,,,
node,1.0,,POINT Z (-15.336546230653767 17.4622741388157 0),,,,,,,
node,1.0,,POINT Z (-15.503612261149101 17.297638159245253 0),,,,,,,
node,1.0,,POINT Z (-14.874380839057267 17.460755355656147 0),,,,,,,
node,1.0,,POINT Z (-15.178744770935737 17.167934169061482 0),,,,,,,
node,1.0,,POINT Z (-14.998920970829204 16.856887594796717 0),,,,,,,
node,1.0,,POINT Z (-11.019711880595423 19.197027049027383 0),,,,,,,
node,1.0,,POINT Z (-5.044215603673365 19.35255033429712 0),,,,,,,
node,1.0,,POINT Z (-2.318913011753466 18.805788778699934 0),,,,,,,
node,1.0,,POINT Z (-8.300744575331919 8.996443374082446 0),,,,,,,
node,1.0,,POINT Z (-8.015493712038733 9.190221386961639 0),,,,,,,
node,1.0,,POINT Z (-9.345460817334242 9.595831263810396 0),,,,,,,
node,1.0,,POINT Z (-9.4707094161422 7.872591071762145 0),,,,,,,
node,1.0,,POINT Z (-9.07593185006408 8.323937375098467 0),,,,,,,
node,1.0,,POINT Z (-7.711060630390421 8.20237477030605 0),,,,,,,
node,1.0,,POINT Z (-6.789110582671128 8.251721966080368 0),,,,,,,
node,1.0,,POINT Z (14.772604991158005 -19.28581865876913 0),,,,,,,
node,1.0,,POINT Z (16.25798567343736 -17.899282815866172 0),,,,,,,
node,1.0,,POINT Z (17.14503160706954 -19.244896593503654 0),,,,,,,
node,1.0,,POINT Z (17.12336698459694 -19.631249028258026 0),,,,,,,
node,1.0,,POINT Z (17.343623980355915 -19.455524867400527 0),,,,,,,
node,1.0,,POINT Z (6.288648538873531 -19.428444089367986 0),,,,,,,
node,1.0,,POINT Z (7.02885647531366 -19.297252763994038 0),,,,,,,
node,1.0,,POINT Z (17.2828426786582 -16.708330371417105 0),,,,,,,
node,1.0,,POINT Z (-15.984163134882692 14.563160603865981 0),,,,,,,
node,1.0,,POINT Z (-14.313580019690562 14.647411914542317 0),,,,,,,
node,1.0,,POINT Z (-16.081653936591465 14.848411473445594 0),,,,,,,
node,1.0,,POINT Z (-14.927410991687793 15.008488962426782 0),,,,,,,
node,1.0,,POINT Z (0.0127534237108193 8.790140500292182 0),,,,,,,
node,1.0,,POINT Z (3.1156088063144125 9.223432950675488 0),,,,,,,
node,1.0,,POINT Z (-4.714948647422716 11.688385565765202 0),,,,,,,
node,1.0,,POINT Z (-2.7521940256119706 5.5184816010296345 0),,,,,,,
node,1.0,,POINT Z (-3.1460688991937786 6.0181219559162855 0),,,,,,,
node,1.0,,POINT Z (-2.3902142908773385 6.048211709596217 0),,,,,,,
node,1.0,,POINT Z (-6.035287031379994 2.602934933267534 0),,,,,,,
node,1.0,,POINT Z (-5.144630327355117 2.612563654780388 0),,,,,,,
node,1.0,,POINT Z (7.8427090850891545 -0.115373401902616 0),,,,,,,
node,1.0,,POINT Z (1.1154775041504763 -1.1778516825288534 0),,,,,,,
node,1.0,,POINT Z (4.683886761078611 0.7644509868696332 0),,,,,,,
node,1.0,,POINT Z (4.606856992060784 0.2023743903264403 0),,,,,,,
node,1.0,,POINT Z (5.142454604618251 0.3155118636786938 0),,,,,,,
node,1.0,,POINT Z (5.4156695665442385 0.3588411090895534 0),,,,,,,
node,1.0,,POINT Z (5.543250121525489 -0.4969114810228348 0),,,,,,,
node,1.0,,POINT Z (6.019871817203239 -0.3897919580340385 0),,,,,,,
node,1.0,,POINT Z (10.707253620028496 -0.685875128954649 0),,,,,,,
node,1.0,,POINT Z (11.70141907618381 -0.1562954671680927 0),,,,,,,
node,1.0,,POINT Z (12.07635599403875 -0.3652559369802475 0),,,,,,,
node,1.0,,POINT Z (10.809558781853411 -0.8121016444638371 0),,,,,,,
node,1.0,,POINT Z (10.79150492977351 -0.7453023921698332 0),,,,,,,
node,1.0,,POINT Z (10.494819960207678 3.1537278657779098 0),,,,,,,
node,1.0,,POINT Z (6.3538680815836415 3.2367755863815546 0),,,,,,,
node,1.0,,POINT Z (8.88381455722265 3.410092566162348 0),,,,,,,
node,1.0,,POINT Z (9.868953087367117 -0.0285644652321935 0),,,,,,,
node,1.0,,POINT Z (10.27697014505975 0.7092362912371755 0),,,,,,,
node,1.0,,POINT Z (10.524608816311229 0.4664119808003306 0),,,,,,,
node,1.0,,POINT Z (7.758758673153352 -0.411005231551826 0),,,,,,,
node,1.0,,POINT Z (8.443601463164669 -0.2713887756690383 0),,,,,,,
node,1.0,,POINT Z (8.876893913839012 0.0752451857551932 0),,,,,,,
node,1.0,,POINT Z (8.427954791404773 0.0535805625841022 0),,,,,,,
node,1.0,,POINT Z (8.567571247695014 0.2341190837323666 0),,,,,,,
node,1.0,,POINT Z (8.548313805484213 -0.4892385909333825 0),,,,,,,
node,1.0,,POINT Z (8.98040266596945 -0.2088020881637931 0),,,,,,,
node,1.0,,POINT Z (4.382688328856602 -1.009189530275762 0),,,,,,,
node,1.0,,POINT Z (5.001333661202807 -0.3436041828244924 0),,,,,,,
node,1.0,,POINT Z (6.467306452454068 -0.5710827196016908 0),,,,,,,
node,1.0,,POINT Z (2.5038841195055284 3.8497038688510656 0),,,,,,,
node,1.0,,POINT Z (4.12873080954887 3.695644331164658 0),,,,,,,
node,1.0,,POINT Z (4.456107327830978 4.410576873458922 0),,,,,,,
node,1.0,,POINT Z (-10.185566732834559 8.760953434742987 0),,,,,,,
node,1.0,,POINT Z (-5.193074829585385 8.444409226067364 0),,,,,,,
node,1.0,,POINT Z (-5.486750823853072 7.606108692474663 0),,,,,,,
node,1.0,,POINT Z (0.34825417783577 10.545275813899934 0),,,,,,,
node,1.0,,POINT Z (-9.698413623205852 16.922799072228372 0),,,,,,,
node,1.0,,POINT Z (7.636293377261609 6.87041421700269 0),,,,,,,
node,1.0,,POINT Z (13.322728781669866 18.22691263537854 0),,,,,,,
node,1.0,,POINT Z (11.230213532515336 20.108401264995337 0),,,,,,,
node,1.0,,POINT Z (12.095670068229083 19.657054962590337 0),,,,,,,
node,1.0,,POINT Z (12.610204853292089 19.76176730543375 0),,,,,,,
node,1.0,,POINT Z (12.729360277357046 19.165990188717842 0),,,,,,,
node,1.0,,POINT Z (12.519032900279853 18.89879317674786 0),,,,,,,
node,1.0,,POINT Z (13.597750563756563 19.559564164839685 0),,,,,,,
node,1.0,,POINT Z (12.79570818389766 18.708325040526688 0),,,,,,,
node,1.0,,POINT Z (13.109845210565254 18.94031704030931 0),,,,,,,
node,1.0,,POINT Z (13.776935046014842 19.48102990910411 0),,,,,,,
node,1.0,,POINT Z (12.94374977122061 19.128528447821736 0),,,,,,,
node,1.0,,POINT Z (13.961987030343153 18.581948078237474 0),,,,,,,
node,1.0,,POINT Z (14.254459434596356 18.899695873260498 0),,,,,,,
node,1.0,,POINT Z (14.03600782394642 18.415852637961507 0),,,,,,,
node,1.0,,POINT Z (14.154260555224027 18.572018458507955 0),,,,,,,
node,1.0,,POINT Z (14.306589932995848 18.466403420083225 0),,,,,,,
node,1.0,,POINT Z (14.397761886240914 17.733417024835944 0),,,,,,,
node,1.0,,POINT Z (14.85994050023146 18.361691078171134 0),,,,,,,
node,1.0,,POINT Z (14.308395318454131 18.063802518881857 0),,,,,,,
node,1.0,,POINT Z (14.897853589791339 18.157682550139725 0),,,,,,,
node,1.0,,POINT Z (15.083808266499545 18.405923016369343 0),,,,,,,
node,1.0,,POINT Z (15.152412904426455 17.94735517166555 0),,,,,,,
node,1.0,,POINT Z (15.439469152945094 18.266005661338568 0),,,,,,,
node,1.0,,POINT Z (15.765341183694545 17.506841178052127 0),,,,,,,
node,1.0,,POINT Z (15.579386507044546 17.679255465976894 0),,,,,,,
node,1.0,,POINT Z (15.73916309827473 17.824588974937797 0),,,,,,,
node,1.0,,POINT Z (16.365631766733713 17.150277599692345 0),,,,,,,
node,1.0,,POINT Z (16.12732091889484 17.361507668159902 0),,,,,,,
node,1.0,,POINT Z (-1.7649492140044458 9.331154247745872 0),,,,,,,
node,1.0,,POINT Z (1.7365954026463442 9.586616254411638 0),,,,,,,
node,1.0,,POINT Z (7.323486447450705 6.3070146618410945 0),,,,,,,
node,1.0,,POINT Z (7.366012346115895 5.808854134753346 0),,,,,,,
node,1.0,,POINT Z (7.6406081488821656 5.794273826293647 0),,,,,,,
node,1.0,,POINT Z (-16.906859348295256 15.286965678445995 0),,,,,,,
node,1.0,,POINT Z (-16.906859348295256 14.996574541553855 0),,,,,,,
node,1.0,,POINT Z (-13.97560990403872 15.064919735305011 0),,,,,,,
node,1.0,,POINT Z (-7.584349690936506 19.660874449647963 0),,,,,,,
node,1.0,,POINT Z (-7.153376319329254 18.569815398193896 0),,,,,,,
node,1.0,,POINT Z (-4.351544752018526 18.318498372100294 0),,,,,,,
node,1.0,,POINT Z (-3.757063918747008 18.84131852723658 0),,,,,,,
node,1.0,,POINT Z (-11.186560378002468 18.24986560177058 0),,,,,,,
node,1.0,,POINT Z (2.5844014031463303 18.207474776543677 0),,,,,,,
node,1.0,,POINT Z (2.6631272180820815 18.13177687767893 0),,,,,,,
node,1.0,,POINT Z (6.527757287141867 16.994289780966938 0),,,,,,,
node,1.0,,POINT Z (5.5976824350073 18.463838323950768 0),,,,,,,
node,1.0,,POINT Z (4.5520421239198186 17.0745295509696 0),,,,,,,
node,1.0,,POINT Z (5.734695632418152 16.928432601504028 0),,,,,,,
node,1.0,,POINT Z (6.018310428538825 16.96325363498181 0),,,,,,,
node,1.0,,POINT Z (5.84521456528455 16.672826029360294 0),,,,,,,
node,1.0,,POINT Z (7.0765670607215725 16.70714240986854 0),,,,,,,
node,1.0,,POINT Z (6.445751233142801 16.603183962404728 0),,,,,,,
node,1.0,,POINT Z (7.188599951681681 16.67787255626172 0),,,,,,,
node,1.0,,POINT Z (7.372293520718813 17.253176590427756 0),,,,,,,
node,1.0,,POINT Z (9.264741002989467 14.27572588250041 0),,,,,,,
node,1.0,,POINT Z (10.04493401851505 14.351423782296479 0),,,,,,,
node,1.0,,POINT Z (1.4418677617795765 18.608168983832 0),,,,,,,
node,1.0,,POINT Z (-5.688369700394105 13.125622457824647 0),,,,,,,
node,1.0,,POINT Z (-3.129484347824473 16.332728524692357 0),,,,,,,
node,1.0,,POINT Z (-4.981351321970578 17.16132979094982 0),,,,,,,
node,1.0,,POINT Z (-4.318237724073697 17.22188811004162 0),,,,,,,
node,1.0,,POINT Z (-10.528052233858034 13.54236341174692 0),,,,,,,
node,1.0,,POINT Z (-10.10338649910409 13.590912179090083 0),,,,,,,
node,1.0,,POINT Z (-10.967351932369638 15.992554406635463 0),,,,,,,
node,1.0,,POINT Z (-3.4207753625232726 8.19970731344074 0),,,,,,,
node,1.0,,POINT Z (0.7764211957110092 8.354635696858168 0),,,,,,,
node,1.0,,POINT Z (-2.2969137856853195 8.299123898148537 0),,,,,,,
node,1.0,,POINT Z (10.637839728733525 13.45818851608783 0),,,,,,,
node,1.0,,POINT Z (7.978824619029183 13.18113418482244 0),,,,,,,
node,1.0,,POINT Z (8.63285452639684 13.456674562767148 0),,,,,,,
node,1.0,,POINT Z (0.5109738711034879 10.122938782908022 0),,,,,,,
node,1.0,,POINT Z (5.482812333793845 15.208828755654395 0),,,,,,,
node,1.0,,POINT Z (6.259977501467802 15.305722075514495 0),,,,,,,
node,1.0,,POINT Z (8.755485133209731 12.497582077048719 0),,,,,,,
node,1.0,,POINT Z (9.175356184889097 12.537954294122756 0),,,,,,,
node,1.0,,POINT Z (6.729052190959919 9.792138922028244 0),,,,,,,
node,1.0,,POINT Z (6.623075122653972 9.449984386563301 0),,,,,,,
node,1.0,,POINT Z (7.014685622707475 9.803241280838847 0),,,,,,,
node,1.0,,POINT Z (6.842094397172332 9.51155201625079 0),,,,,,,
node,1.0,,POINT Z (7.275086418958381 10.150442342273891 0),,,,,,,
