geometry,original_line_id,type,censored,f_set,length,id,b_group
"LINESTRING Z (-42.2728463562893 23.011276633315013 0, -38.00193215252653 28.4361507592769 0)",30,fracture,0,1,6.9043,,-9999
"LINESTRING Z (-38.00193215252653 28.4361507592769 0, -37.12022497063383 29.55608673774035 0)",31,fracture,0,1,1.4254,,-9999
"LINESTRING Z (-37.12022497063383 29.55608673774035 0, -35.41800346182007 31.718232119093106 0)",32,fracture,0,1,2.7518,,-9999
"LINESTRING Z (-35.41800346182007 31.718232119093106 0, -34.48418601586024 32.904358053558425 0)",33,fracture,0,1,1.5096,,-9999
"LINESTRING Z (-34.48418601586024 32.904358053558425 0, -34.2897351566081 33.15134766393238 0)",34,fracture,0,1,0.3143,,-9999
"LINESTRING Z (-34.2897351566081 33.15134766393238 0, -33.42695713639897 34.24724000336583 0)",35,fracture,0,1,1.3948,,-9999
"LINESTRING Z (-33.42695713639897 34.24724000336583 0, -32.6332857584341 35.25535375077965 0)",36,fracture,0,1,1.283,,-9999
"LINESTRING Z (-32.6332857584341 35.25535375077965 0, -31.853579782172186 36.24572877932845 0)",37,fracture,0,1,1.2605,,-9999
"LINESTRING Z (-31.853579782172186 36.24572877932845 0, -30.505766093016643 37.95770875833982 0)",38,fracture,1,1,2.1789,,-9999
"LINESTRING Z (-62.20110505083176 -7.250169988877581 0, -60.67509508593304 -5.311846815060226 0)",39,fracture,1,1,2.4669,,-9999
"LINESTRING Z (-60.67509508593304 -5.311846815060226 0, -57.41865167848782 -1.1755437331241017 0)",40,fracture,0,1,5.2644,,-9999
"LINESTRING Z (-57.41865167848782 -1.1755437331241017 0, -56.79863316818026 -0.3880021872832644 0)",41,fracture,0,1,1.0023,,-9999
"LINESTRING Z (-56.79863316818026 -0.3880021872832644 0, -56.313198980731116 0.2285916466621925 0)",42,fracture,0,1,0.7848,,-9999
"LINESTRING Z (-56.313198980731116 0.2285916466621925 0, -55.92269699000339 0.7246035177901736 0)",43,fracture,0,1,0.6313,,-9999
"LINESTRING Z (-55.92269699000339 0.7246035177901736 0, -52.86936085779675 4.6029216930602646 0)",44,fracture,0,1,4.936,,-9999
