type,n_type,n_origin,geometry,id,length,azimuth,censored,f_set,Area,b_group
node,1.0,,POINT Z (410103.17752580374 5081039.17308898 0),,,,,,,
node,1.0,,POINT Z (410103.2750166052 5081039.478800875 0),,,,,,,
node,1.0,,POINT Z (410102.93440059555 5081039.827842017 0),,,,,,,
node,1.0,,POINT Z (410108.8656928088 5081036.0738443695 0),,,,,,,
node,1.0,,POINT Z (410110.190845554 5081036.924782603 0),,,,,,,
node,1.0,,POINT Z (410110.3858271571 5081038.582728022 0),,,,,,,
node,1.0,,POINT Z (410107.05865266273 5081038.581599659 0),,,,,,,
node,1.0,,POINT Z (410108.5222182737 5081038.653815067 0),,,,,,,
node,1.0,,POINT Z (410107.64594854414 5081041.428837748 0),,,,,,,
node,1.0,,POINT Z (410107.5286985665 5081041.168214741 0),,,,,,,
node,1.0,,POINT Z (410107.1283476061 5081040.837120242 0),,,,,,,
node,1.0,,POINT Z (410101.23638434504 5081040.944042508 0),,,,,,,
node,1.0,,POINT Z (410101.7977262067 5081042.424247541 0),,,,,,,
node,1.0,,POINT Z (410098.3130325664 5081046.8645588765 0),,,,,,,
node,1.0,,POINT Z (410100.54928732367 5081045.8627702035 0),,,,,,,
node,1.0,,POINT Z (410100.5529324006 5081046.351210524 0),,,,,,,
node,1.0,,POINT Z (410099.03658035654 5081045.819029278 0),,,,,,,
node,1.0,,POINT Z (410101.1968960092 5081046.3074696 0),,,,,,,
node,1.0,,POINT Z (410109.8551689792 5081035.855211221 0),,,,,,,
node,1.0,,POINT Z (410112.71290936996 5081039.581694969 0),,,,,,,
node,1.0,,POINT Z (410099.5845569365 5081042.603767582 0),,,,,,,
node,1.0,,POINT Z (410099.2874831586 5081044.166898115 0),,,,,,,
node,1.0,,POINT Z (410098.9290505842 5081045.241284567 0),,,,,,,
node,1.0,,POINT Z (410097.8124419875 5081045.028047561 0),,,,,,,
node,1.0,,POINT Z (410098.8561490436 5081044.709710831 0),,,,,,,
node,1.0,,POINT Z (410100.3093197527 5081045.549901085 0),,,,,,,
node,1.0,,POINT Z (410100.64770440344 5081045.6398129845 0),,,,,,,
node,1.0,,POINT Z (410101.32690375653 5081045.715144576 0),,,,,,,
node,1.0,,POINT Z (410133.4837733081 5081012.4623218635 0),,,,,,,
node,1.0,,POINT Z (410138.2369537542 5081017.028388355 0),,,,,,,
node,1.0,,POINT Z (410135.9818660989 5081016.440315927 0),,,,,,,
node,1.0,,POINT Z (410138.74726453837 5081018.938408719 0),,,,,,,
node,1.0,,POINT Z (410136.7400421209 5081021.067133706 0),,,,,,,
node,1.0,,POINT Z (410135.4108040309 5081020.058662395 0),,,,,,,
node,1.0,,POINT Z (410124.74287859164 5081016.450036138 0),,,,,,,
node,1.0,,POINT Z (410130.48508993833 5081020.797398009 0),,,,,,,
node,1.0,,POINT Z (410099.41688339296 5081046.765534274 0),,,,,,,
node,1.0,,POINT Z (410101.42835839983 5081042.674542818 0),,,,,,,
node,1.0,,POINT Z (410102.30439191236 5081042.811233206 0),,,,,,,
node,1.0,,POINT Z (410102.32626237464 5081042.73286405 0),,,,,,,
node,1.0,,POINT Z (410101.3010844604 5081042.904182669 0),,,,,,,
node,1.0,,POINT Z (410101.63643154694 5081043.430288786 0),,,,,,,
node,1.0,,POINT Z (410109.41289963224 5081038.822911425 0),,,,,,,
node,1.0,,POINT Z (410110.0325627272 5081038.875157529 0),,,,,,,
node,1.0,,POINT Z (410109.9876067771 5081038.626077263 0),,,,,,,
node,1.0,,POINT Z (410110.2901481705 5081038.644302648 0),,,,,,,
node,1.0,,POINT Z (410110.46511186793 5081038.373351922 0),,,,,,,
node,1.0,,POINT Z (410116.2753646523 5081039.476595235 0),,,,,,,
node,1.0,,POINT Z (410116.42602783616 5081039.704412549 0),,,,,,,
node,1.0,,POINT Z (410116.1605447259 5081039.680719548 0),,,,,,,
node,1.0,,POINT Z (410129.97508290986 5081044.710318331 0),,,,,,,
node,1.0,,POINT Z (410117.0305031086 5081039.914004475 0),,,,,,,
node,1.0,,POINT Z (410118.67686290015 5081040.5998864705 0),,,,,,,
node,1.0,,POINT Z (410120.1421838659 5081040.5646507265 0),,,,,,,
node,1.0,,POINT Z (410119.6075725683 5081040.757839809 0),,,,,,,
node,1.0,,POINT Z (410121.4702069303 5081040.867192118 0),,,,,,,
node,1.0,,POINT Z (410120.76063193526 5081040.326505694 0),,,,,,,
node,1.0,,POINT Z (410121.2174815896 5081040.4139875425 0),,,,,,,
node,1.0,,POINT Z (410126.2683433265 5081043.439401477 0),,,,,,,
node,1.0,,POINT Z (410127.2160633541 5081043.5560439415 0),,,,,,,
node,1.0,,POINT Z (410126.8612758566 5081044.725506157 0),,,,,,,
node,1.0,,POINT Z (410098.6623524458 5081042.041210679 0),,,,,,,
node,1.0,,POINT Z (410134.758638996 5081021.684670498 0),,,,,,,
node,1.0,,POINT Z (410135.2009083422 5081021.838978758 0),,,,,,,
node,1.0,,POINT Z (410130.67129262054 5081013.959537245 0),,,,,,,
node,1.0,,POINT Z (410130.7344739557 5081014.296099359 0),,,,,,,
node,1.0,,POINT Z (410130.96046873153 5081014.546394648 0),,,,,,,
node,1.0,,POINT Z (410130.56437036104 5081014.479568236 0),,,,,,,
node,1.0,,POINT Z (410130.7927951882 5081014.695842806 0),,,,,,,
node,1.0,,POINT Z (410108.0523746288 5081037.61244209 0),,,,,,,
node,1.0,,POINT Z (410103.2202175131 5081048.442573456 0),,,,,,,
node,1.0,,POINT Z (410103.3599454659 5081048.525802715 0),,,,,,,
node,1.0,,POINT Z (410108.2947722501 5081049.9777584 0),,,,,,,
node,1.0,,POINT Z (410108.5876482448 5081050.1245685695 0),,,,,,,
node,1.0,,POINT Z (410101.28528912255 5081045.439029987 0),,,,,,,
node,1.0,,POINT Z (410103.19439821615 5081044.119360219 0),,,,,,,
node,1.0,,POINT Z (410103.30466179614 5081043.866331122 0),,,,,,,
node,1.0,,POINT Z (410104.398184905 5081043.24302295 0),,,,,,,
node,1.0,,POINT Z (410105.1502857988 5081043.7375384 0),,,,,,,
node,1.0,,POINT Z (410101.026488653 5081041.554137261 0),,,,,,,
node,1.0,,POINT Z (410144.4724655203 5081029.245319644 0),,,,,,,
node,1.0,,POINT Z (410146.452957373 5081030.518666552 0),,,,,,,
node,1.0,,POINT Z (410146.79194953677 5081030.8048051 0),,,,,,,
node,1.0,,POINT Z (410147.44077324786 5081031.15594752 0),,,,,,,
node,1.0,,POINT Z (410106.5266061329 5081044.391829723 0),,,,,,,
node,1.0,,POINT Z (410106.7841915763 5081044.541277881 0),,,,,,,
node,1.0,,POINT Z (410106.58735741675 5081044.267897105 0),,,,,,,
node,1.0,,POINT Z (410106.78722914046 5081044.473843956 0),,,,,,,
node,1.0,,POINT Z (410106.69002708636 5081044.2988802595 0),,,,,,,
node,1.0,,POINT Z (410107.1462692277 5081044.586233832 0),,,,,,,
node,1.0,,POINT Z (410106.7580685243 5081044.246634156 0),,,,,,,
node,1.0,,POINT Z (410107.41175233823 5081044.250279234 0),,,,,,,
node,1.0,,POINT Z (410109.834513537 5081044.334116004 0),,,,,,,
node,1.0,,POINT Z (410105.24414653145 5081043.7600163715 0),,,,,,,
node,1.0,,POINT Z (410109.05507456564 5081043.769736575 0),,,,,,,
node,1.0,,POINT Z (410109.3972561716 5081043.817426333 0),,,,,,,
node,1.0,,POINT Z (410111.8598094611 5081043.496659561 0),,,,,,,
node,1.0,,POINT Z (410111.83270689583 5081043.53965786 0),,,,,,,
node,1.0,,POINT Z (410111.5745821833 5081043.590975927 0),,,,,,,
node,1.0,,POINT Z (410105.4532828245 5081042.441561631 0),,,,,,,
node,1.0,,POINT Z (410105.2758890758 5081042.8558853865 0),,,,,,,
node,1.0,,POINT Z (410109.3164569626 5081043.21857055 0),,,,,,,
node,1.0,,POINT Z (410108.6749234052 5081043.293902142 0),,,,,,,
node,1.0,,POINT Z (410108.95923941355 5081043.614668921 0),,,,,,,
node,1.0,,POINT Z (410108.59351668495 5081043.229505781 0),,,,,,,
node,1.0,,POINT Z (410108.64940786606 5081043.306052399 0),,,,,,,
node,1.0,,POINT Z (410107.78430958453 5081043.159034292 0),,,,,,,
node,1.0,,POINT Z (410108.0795608239 5081043.613453896 0),,,,,,,
node,1.0,,POINT Z (410111.7756689314 5081043.896554881 0),,,,,,,
node,1.0,,POINT Z (410106.14220238244 5081045.143171226 0),,,,,,,
node,1.0,,POINT Z (410106.57718157466 5081045.152891431 0),,,,,,,
node,1.0,,POINT Z (410105.9733138135 5081044.939046912 0),,,,,,,
node,1.0,,POINT Z (410106.662233372 5081044.977927734 0),,,,,,,
node,1.0,,POINT Z (410106.63914788404 5081045.217287792 0),,,,,,,
node,1.0,,POINT Z (410118.04383451736 5081047.600712533 0),,,,,,,
node,1.0,,POINT Z (410118.45086811896 5081047.601927559 0),,,,,,,
node,1.0,,POINT Z (410106.90083403914 5081044.099008535 0),,,,,,,
node,1.0,,POINT Z (410105.39420220023 5081040.41505069 0),,,,,,,
node,1.0,,POINT Z (410104.5673772275 5081041.908317248 0),,,,,,,
node,1.0,,POINT Z (410122.4063842086 5081014.818104767 0),,,,,,,
node,1.0,,POINT Z (410123.4391560335 5081015.527679763 0),,,,,,,
node,1.0,,POINT Z (410111.9280027755 5081048.279304385 0),,,,,,,
node,1.0,,POINT Z (410117.26682559756 5081049.637095579 0),,,,,,,
node,1.0,,POINT Z (410120.18045716925 5081050.130396005 0),,,,,,,
node,1.0,,POINT Z (410117.44178929453 5081050.8794593355 0),,,,,,,
node,1.0,,POINT Z (410117.5861242157 5081050.975746179 0),,,,,,,
node,1.0,,POINT Z (410117.89560138463 5081051.079331057 0),,,,,,,
node,1.0,,POINT Z (410117.96121277113 5081048.399591926 0),,,,,,,
node,1.0,,POINT Z (410105.67912572116 5081055.216189729 0),,,,,,,
node,1.0,,POINT Z (410106.80180944613 5081054.860794717 0),,,,,,,
node,1.0,,POINT Z (410104.09959234187 5081054.5582533255 0),,,,,,,
node,1.0,,POINT Z (410104.5673772272 5081054.673073252 0),,,,,,,
node,1.0,,POINT Z (410105.08497816534 5081054.692513662 0),,,,,,,
node,1.0,,POINT Z (410105.1305416283 5081054.9470615415 0),,,,,,,
node,1.0,,POINT Z (410105.713753953 5081055.084966956 0),,,,,,,
node,1.0,,POINT Z (410102.7654941493 5081054.456191167 0),,,,,,,
node,1.0,,POINT Z (410101.6901964258 5081054.197390698 0),,,,,,,
node,1.0,,POINT Z (410101.91133109893 5081054.278797419 0),,,,,,,
node,1.0,,POINT Z (410102.1573737982 5081054.239916596 0),,,,,,,
node,1.0,,POINT Z (410102.7375485587 5081054.402122523 0),,,,,,,
node,1.0,,POINT Z (410103.3055730625 5081054.255104418 0),,,,,,,
node,1.0,,POINT Z (410103.54827444116 5081054.37387318 0),,,,,,,
node,1.0,,POINT Z (410103.5303528123 5081054.351698963 0),,,,,,,
node,1.0,,POINT Z (410104.9707657515 5081054.219261164 0),,,,,,,
node,1.0,,POINT Z (410106.681521904 5081055.530273869 0),,,,,,,
node,1.0,,POINT Z (410108.49920031603 5081055.724677977 0),,,,,,,
node,1.0,,POINT Z (410106.8090995999 5081054.92640611 0),,,,,,,
node,1.0,,POINT Z (410106.8698508838 5081055.058236396 0),,,,,,,
node,1.0,,POINT Z (410106.7027848533 5081054.893600416 0),,,,,,,
node,1.0,,POINT Z (410107.3320162754 5081055.056717613 0),,,,,,,
node,1.0,,POINT Z (410107.0276523435 5081054.763896426 0),,,,,,,
node,1.0,,POINT Z (410107.20747614367 5081054.452849852 0),,,,,,,
node,1.0,,POINT Z (410111.18668523384 5081056.792989306 0),,,,,,,
node,1.0,,POINT Z (410117.16218151076 5081056.948512591 0),,,,,,,
node,1.0,,POINT Z (410119.8874841027 5081056.401751036 0),,,,,,,
node,1.0,,POINT Z (410113.90565253916 5081046.592405631 0),,,,,,,
node,1.0,,POINT Z (410114.1909034024 5081046.786183644 0),,,,,,,
node,1.0,,POINT Z (410112.86093629705 5081047.191793521 0),,,,,,,
node,1.0,,POINT Z (410112.7356876983 5081045.468553329 0),,,,,,,
node,1.0,,POINT Z (410113.1304652644 5081045.919899632 0),,,,,,,
node,1.0,,POINT Z (410114.49533648405 5081045.798337027 0),,,,,,,
node,1.0,,POINT Z (410115.41728653177 5081045.847684223 0),,,,,,,
node,1.0,,POINT Z (410136.97900210554 5081018.310143598 0),,,,,,,
node,1.0,,POINT Z (410138.4643827879 5081019.696679441 0),,,,,,,
node,1.0,,POINT Z (410139.35142872157 5081018.351065664 0),,,,,,,
node,1.0,,POINT Z (410139.32976409903 5081017.964713229 0),,,,,,,
node,1.0,,POINT Z (410139.5500210948 5081018.14043739 0),,,,,,,
node,1.0,,POINT Z (410128.4950456533 5081018.167518168 0),,,,,,,
node,1.0,,POINT Z (410129.2352535898 5081018.298709493 0),,,,,,,
node,1.0,,POINT Z (410139.4892397931 5081020.887631886 0),,,,,,,
node,1.0,,POINT Z (410106.22223397956 5081052.159122861 0),,,,,,,
node,1.0,,POINT Z (410107.89281709475 5081052.243374172 0),,,,,,,
node,1.0,,POINT Z (410106.12474317785 5081052.444373731 0),,,,,,,
node,1.0,,POINT Z (410107.27898612275 5081052.60445122 0),,,,,,,
node,1.0,,POINT Z (410122.21915053815 5081046.386102757 0),,,,,,,
node,1.0,,POINT Z (410125.3220059207 5081046.819395208 0),,,,,,,
node,1.0,,POINT Z (410117.491448467 5081049.284347823 0),,,,,,,
node,1.0,,POINT Z (410119.4542030888 5081043.114443858 0),,,,,,,
node,1.0,,POINT Z (410119.06032821524 5081043.614084213 0),,,,,,,
node,1.0,,POINT Z (410119.81618282356 5081043.644173967 0),,,,,,,
node,1.0,,POINT Z (410116.17111008306 5081040.19889719 0),,,,,,,
node,1.0,,POINT Z (410117.0617667871 5081040.208525912 0),,,,,,,
node,1.0,,POINT Z (410130.04910619947 5081037.480588855 0),,,,,,,
node,1.0,,POINT Z (410123.3218746186 5081036.418110575 0),,,,,,,
node,1.0,,POINT Z (410126.8902838755 5081038.360413244 0),,,,,,,
node,1.0,,POINT Z (410126.8132541065 5081037.798336647 0),,,,,,,
node,1.0,,POINT Z (410127.34885171906 5081037.911474121 0),,,,,,,
node,1.0,,POINT Z (410127.622066681 5081037.954803366 0),,,,,,,
node,1.0,,POINT Z (410127.74964723596 5081037.099050776 0),,,,,,,
node,1.0,,POINT Z (410128.22626893164 5081037.206170299 0),,,,,,,
node,1.0,,POINT Z (410132.91365073447 5081036.910087128 0),,,,,,,
node,1.0,,POINT Z (410133.9078161906 5081037.43966679 0),,,,,,,
node,1.0,,POINT Z (410134.2827531084 5081037.23070632 0),,,,,,,
node,1.0,,POINT Z (410133.0159558963 5081036.783860613 0),,,,,,,
node,1.0,,POINT Z (410132.9979020442 5081036.850659865 0),,,,,,,
node,1.0,,POINT Z (410132.70121707465 5081040.749690123 0),,,,,,,
node,1.0,,POINT Z (410128.560265196 5081040.8327378435 0),,,,,,,
node,1.0,,POINT Z (410131.09021167166 5081041.006054823 0),,,,,,,
node,1.0,,POINT Z (410132.0753502018 5081037.567397792 0),,,,,,,
node,1.0,,POINT Z (410132.4833672595 5081038.305198548 0),,,,,,,
node,1.0,,POINT Z (410132.7310059308 5081038.062374238 0),,,,,,,
node,1.0,,POINT Z (410129.9651557876 5081037.184957026 0),,,,,,,
node,1.0,,POINT Z (410130.6499985776 5081037.324573481 0),,,,,,,
node,1.0,,POINT Z (410131.0832910283 5081037.671207443 0),,,,,,,
node,1.0,,POINT Z (410130.63435190584 5081037.64954282 0),,,,,,,
node,1.0,,POINT Z (410130.77396836213 5081037.830081341 0),,,,,,,
node,1.0,,POINT Z (410130.75471092 5081037.106723666 0),,,,,,,
node,1.0,,POINT Z (410131.1867997804 5081037.387160169 0),,,,,,,
node,1.0,,POINT Z (410126.5890854433 5081036.586772727 0),,,,,,,
node,1.0,,POINT Z (410127.2077307756 5081037.252358074 0),,,,,,,
node,1.0,,POINT Z (410128.6737035669 5081037.0248795375 0),,,,,,,
node,1.0,,POINT Z (410124.710281234 5081041.445666126 0),,,,,,,
node,1.0,,POINT Z (410126.335127924 5081041.291606588 0),,,,,,,
node,1.0,,POINT Z (410126.66250444227 5081042.006539131 0),,,,,,,
node,1.0,,POINT Z (410112.0208303816 5081046.356915692 0),,,,,,,
node,1.0,,POINT Z (410117.01332228485 5081046.040371483 0),,,,,,,
node,1.0,,POINT Z (410116.7196462906 5081045.20207095 0),,,,,,,
node,1.0,,POINT Z (410122.5546512923 5081048.141238071 0),,,,,,,
node,1.0,,POINT Z (410112.50798349123 5081054.518761329 0),,,,,,,
node,1.0,,POINT Z (410129.8426904917 5081044.466376474 0),,,,,,,
node,1.0,,POINT Z (410135.52912589605 5081055.8228748925 0),,,,,,,
node,1.0,,POINT Z (410133.43661064695 5081057.704363522 0),,,,,,,
node,1.0,,POINT Z (410134.30206718267 5081057.25301722 0),,,,,,,
node,1.0,,POINT Z (410134.8166019677 5081057.357729563 0),,,,,,,
node,1.0,,POINT Z (410134.9357573918 5081056.761952446 0),,,,,,,
node,1.0,,POINT Z (410134.7254300147 5081056.494755434 0),,,,,,,
node,1.0,,POINT Z (410135.8041476782 5081057.155526422 0),,,,,,,
node,1.0,,POINT Z (410135.00210529834 5081056.304287298 0),,,,,,,
node,1.0,,POINT Z (410135.316242325 5081056.536279297 0),,,,,,,
node,1.0,,POINT Z (410135.9833321604 5081057.076992166 0),,,,,,,
node,1.0,,POINT Z (410135.15014688566 5081056.724490705 0),,,,,,,
node,1.0,,POINT Z (410136.1683841447 5081056.177910335 0),,,,,,,
node,1.0,,POINT Z (410136.4608565491 5081056.49565813 0),,,,,,,
node,1.0,,POINT Z (410136.2424049383 5081056.011814895 0),,,,,,,
node,1.0,,POINT Z (410136.36065766966 5081056.167980716 0),,,,,,,
node,1.0,,POINT Z (410136.51298704743 5081056.062365677 0),,,,,,,
node,1.0,,POINT Z (410136.6041590007 5081055.329379282 0),,,,,,,
node,1.0,,POINT Z (410137.06633761467 5081055.957653335 0),,,,,,,
node,1.0,,POINT Z (410136.51479243283 5081055.659764776 0),,,,,,,
node,1.0,,POINT Z (410137.1042507042 5081055.753644807 0),,,,,,,
node,1.0,,POINT Z (410137.29020538094 5081056.0018852735 0),,,,,,,
node,1.0,,POINT Z (410137.35881001886 5081055.543317429 0),,,,,,,
node,1.0,,POINT Z (410137.6458662674 5081055.861967918 0),,,,,,,
node,1.0,,POINT Z (410137.97173829813 5081055.102803435 0),,,,,,,
node,1.0,,POINT Z (410137.7857836214 5081055.275217723 0),,,,,,,
node,1.0,,POINT Z (410137.9455602127 5081055.420551232 0),,,,,,,
node,1.0,,POINT Z (410138.5720288812 5081054.746239857 0),,,,,,,
node,1.0,,POINT Z (410138.3337180334 5081054.957469925 0),,,,,,,
node,1.0,,POINT Z (410120.4414479005 5081046.927116505 0),,,,,,,
node,1.0,,POINT Z (410123.9429925171 5081047.182578512 0),,,,,,,
node,1.0,,POINT Z (410129.52988356183 5081043.902976919 0),,,,,,,
node,1.0,,POINT Z (410129.57240946055 5081043.404816392 0),,,,,,,
node,1.0,,POINT Z (410129.84700526326 5081043.390236083 0),,,,,,,
node,1.0,,POINT Z (410105.2995377661 5081052.882927936 0),,,,,,,
node,1.0,,POINT Z (410105.2995377661 5081052.592536799 0),,,,,,,
node,1.0,,POINT Z (410108.2307872104 5081052.660881992 0),,,,,,,
node,1.0,,POINT Z (410114.6220474235 5081057.256836707 0),,,,,,,
node,1.0,,POINT Z (410115.0530207951 5081056.165777655 0),,,,,,,
node,1.0,,POINT Z (410117.8548523624 5081055.914460629 0),,,,,,,
node,1.0,,POINT Z (410118.44933319575 5081056.437280784 0),,,,,,,
node,1.0,,POINT Z (410111.01983673644 5081055.845827859 0),,,,,,,
node,1.0,,POINT Z (410124.7907985176 5081055.803437034 0),,,,,,,
node,1.0,,POINT Z (410124.8695243325 5081055.727739135 0),,,,,,,
node,1.0,,POINT Z (410128.7341544015 5081054.590252038 0),,,,,,,
node,1.0,,POINT Z (410127.8040795494 5081056.059800581 0),,,,,,,
node,1.0,,POINT Z (410126.75843923836 5081054.670491808 0),,,,,,,
node,1.0,,POINT Z (410127.9410927469 5081054.524394859 0),,,,,,,
node,1.0,,POINT Z (410128.224707543 5081054.559215892 0),,,,,,,
node,1.0,,POINT Z (410128.05161167966 5081054.2687882865 0),,,,,,,
node,1.0,,POINT Z (410129.28296417516 5081054.303104667 0),,,,,,,
node,1.0,,POINT Z (410128.6521483475 5081054.1991462195 0),,,,,,,
node,1.0,,POINT Z (410129.3949970661 5081054.273834813 0),,,,,,,
node,1.0,,POINT Z (410129.57869063516 5081054.849138848 0),,,,,,,
node,1.0,,POINT Z (410131.4711381174 5081051.87168814 0),,,,,,,
node,1.0,,POINT Z (410132.25133113295 5081051.947386039 0),,,,,,,
node,1.0,,POINT Z (410123.6482648763 5081056.204131241 0),,,,,,,
node,1.0,,POINT Z (410116.51802741404 5081050.721584715 0),,,,,,,
node,1.0,,POINT Z (410119.0769127667 5081053.928690782 0),,,,,,,
node,1.0,,POINT Z (410117.22504579247 5081054.757292048 0),,,,,,,
node,1.0,,POINT Z (410117.8881593903 5081054.817850367 0),,,,,,,
node,1.0,,POINT Z (410111.6783448806 5081051.138325669 0),,,,,,,
node,1.0,,POINT Z (410112.10301061533 5081051.186874436 0),,,,,,,
node,1.0,,POINT Z (410111.239045182 5081053.588516664 0),,,,,,,
node,1.0,,POINT Z (410118.7856217519 5081045.795669571 0),,,,,,,
node,1.0,,POINT Z (410122.98281831015 5081045.950597954 0),,,,,,,
node,1.0,,POINT Z (410119.90948332875 5081045.895086155 0),,,,,,,
node,1.0,,POINT Z (410132.8442368432 5081051.054150773 0),,,,,,,
node,1.0,,POINT Z (410130.18522173347 5081050.777096442 0),,,,,,,
node,1.0,,POINT Z (410130.83925164083 5081051.05263682 0),,,,,,,
node,1.0,,POINT Z (410122.71737098554 5081047.71890104 0),,,,,,,
node,1.0,,POINT Z (410127.68920944823 5081052.804791013 0),,,,,,,
node,1.0,,POINT Z (410128.46637461596 5081052.901684333 0),,,,,,,
node,1.0,,POINT Z (410130.96188224765 5081050.093544334 0),,,,,,,
node,1.0,,POINT Z (410131.3817532993 5081050.133916551 0),,,,,,,
node,1.0,,POINT Z (410128.9354493054 5081047.388101179 0),,,,,,,
node,1.0,,POINT Z (410128.8294722371 5081047.045946644 0),,,,,,,
node,1.0,,POINT Z (410129.22108273715 5081047.399203538 0),,,,,,,
node,1.0,,POINT Z (410129.0484915116 5081047.107514273 0),,,,,,,
node,1.0,,POINT Z (410129.4814835334 5081047.746404599 0),,,,,,,
node,1.0,,POINT Z (410129.01922165445 5081047.033834977 0),,,,,,,
node,1.0,,POINT Z (410124.5850906493 5081046.185513775 0),,,,,,,
node,1.0,,POINT Z (410125.8916365059 5081046.200653357 0),,,,,,,
node,1.0,,POINT Z (410125.735194167 5081046.2460721005 0),,,,,,,
node,1.0,,POINT Z (410124.89545206365 5081045.959429363 0),,,,,,,
node,1.0,,POINT Z (410125.838143319 5081045.955392141 0),,,,,,,
node,1.0,,POINT Z (410125.5414075277 5081045.906945481 0),,,,,,,
node,1.0,,POINT Z (410125.90879469796 5081045.923094369 0),,,,,,,
node,1.0,,POINT Z (410121.5117556681 5081045.649067949 0),,,,,,,
