geometry,original_line_id,type,censored,f_set,length,id,Area,b_group
"LINESTRING Z (-13.350089109222084 16.157644314023845 0, -13.330033000226043 16.196364517270215 0, -13.324105899715484 16.20780734182187 0)",68,fracture,1,1,0.0565,,,-9999
"LINESTRING Z (-13.324105899715484 16.20780734182187 0, -13.016986670503256 16.800729876213428 0)",69,fracture,0,1,0.6677,,,-9999
"LINESTRING Z (-13.016986670503256 16.800729876213428 0, -11.999236070417584 18.765593055667196 0)",70,fracture,0,1,2.2128,,,-9999
"LINESTRING Z (-11.999236070417584 18.765593055667196 0, -11.565025201123673 19.60387794503243 0)",71,fracture,1,1,0.9441,,,-9999
"LINESTRING Z (-25.148730270748864 -9.726756853218246 0, -24.827848859906926 -9.107265133850625 0)",72,fracture,1,1,0.6977,,,-9999
"LINESTRING Z (-24.827848859906926 -9.107265133850625 0, -24.46071491867047 -8.39847855784415 0)",73,fracture,0,1,0.7982,,,-9999
"LINESTRING Z (-24.46071491867047 -8.39847855784415 0, -23.896225263747677 -7.308678229505369 0)",74,fracture,1,1,1.2273,,,-9999
"LINESTRING Z (-20.77644553742065 -1.2856502777160812 0, -20.10662781300584 0.0074957872799807 0)",75,fracture,1,1,1.4563,,,-9999
"LINESTRING Z (-19.49294408036016 1.1922699058152526 0, -18.882936990381264 2.3699459201594153 0)",76,fracture,1,1,1.3263,,,-9999
"LINESTRING Z (-18.703666924166445 2.7160436303981403 0, -18.62570847312193 2.866549746505291 0)",77,fracture,1,1,0.1695,,,-9999
"LINESTRING Z (-18.62570847312193 2.866549746505291 0, -18.585473848725123 2.9442264700658374 0)",78,fracture,1,1,0.0875,,,-9999
"LINESTRING Z (-18.27840088363137 3.5370596872288784 0, -18.115407557869474 3.851733620370561 0)",79,fracture,1,1,0.3544,,,-9999
"LINESTRING Z (-18.115407557869474 3.851733620370561 0, -18.04944722571461 3.9790762404041202 0)",80,fracture,0,1,0.1434,,,-9999
"LINESTRING Z (-18.04944722571461 3.9790762404041202 0, -17.767851624307337 4.522723012663172 0)",81,fracture,0,1,0.6122,,,-9999
"LINESTRING Z (-17.767851624307337 4.522723012663172 0, -17.218306622176804 5.583671284320525 0)",82,fracture,0,1,1.1948,,,-9999
"LINESTRING Z (-17.218306622176804 5.583671284320525 0, -17.198491560244403 5.621926123557459 0)",83,fracture,0,1,0.0431,,,-9999
"LINESTRING Z (-17.198491560244403 5.621926123557459 0, -16.880427634038178 6.235978424054754 0)",84,fracture,0,1,0.6915,,,-9999
"LINESTRING Z (-16.880427634038178 6.235978424054754 0, -16.812592349354695 6.366940816148769 0)",85,fracture,0,1,0.1475,,,-9999
"LINESTRING Z (-16.812592349354695 6.366940816148769 0, -16.81198598332004 6.368111462763632 0)",86,fracture,0,1,0.0013,,,-9999
"LINESTRING Z (-16.81198598332004 6.368111462763632 0, -16.437963993804427 7.090196063296815 0)",87,fracture,0,1,0.8132,,,-9999
"LINESTRING Z (-16.437963993804427 7.090196063296815 0, -15.859846883300463 8.206305475313693 0)",88,fracture,0,1,1.2569,,,-9999
"LINESTRING Z (-15.859846883300463 8.206305475313693 0, -15.394725941017875 9.104265165445018 0)",89,fracture,1,1,1.0113,,,-9999
"LINESTRING Z (-14.221630127961632 11.369036877543804 0, -13.633846320363364 12.503808756756408 0)",90,fracture,1,1,1.278,,,-9999
"LINESTRING Z (-13.633846320363364 12.503808756756408 0, -13.558736385047855 12.6488155455514 0)",91,fracture,0,1,0.1633,,,-9999
"LINESTRING Z (-13.558736385047855 12.6488155455514 0, -13.175421930602756 13.388840122916605 0)",92,fracture,1,1,0.8334,,,-9999
"LINESTRING Z (-12.543230493126494 14.609345104941173 0, -12.427913270810302 14.831975839884386 0)",93,fracture,1,1,0.2507,,,-9999
"LINESTRING Z (-12.317359774543142 15.045409754005329 0, -12.298099915329484 15.082592722216985 0)",94,fracture,1,1,0.0419,,,-9999
"LINESTRING Z (-12.298099915329484 15.082592722216985 0, -12.040988637298952 15.578970207213766 0)",95,fracture,0,1,0.559,,,-9999
"LINESTRING Z (-12.040988637298952 15.578970207213766 0, -11.915875109224908 15.820513631058027 0)",96,fracture,0,1,0.272,,,-9999
"LINESTRING Z (-11.915875109224908 15.820513631058027 0, -11.762527471525184 16.116565656914897 0)",97,fracture,0,1,0.3334,,,-9999
"LINESTRING Z (-11.762527471525184 16.116565656914897 0, -11.590361983058958 16.448947312137186 0)",98,fracture,0,1,0.3743,,,-9999
"LINESTRING Z (-11.590361983058958 16.448947312137186 0, -11.389828906714088 16.83609526168343 0)",99,fracture,1,1,0.436,,,-9999
"LINESTRING Z (-11.063933890269071 17.465266217835545 0, -10.711298271375606 18.146062420038067 0)",100,fracture,1,1,0.7667,,,-9999
"LINESTRING Z (-10.711298271375606 18.146062420038067 0, -10.537988487589123 18.480653244914507 0)",101,fracture,0,1,0.3768,,,-9999
"LINESTRING Z (-10.537988487589123 18.480653244914507 0, -10.300218846896062 18.939689881346283 0)",102,fracture,0,1,0.517,,,-9999
"LINESTRING Z (-10.300218846896062 18.939689881346283 0, -9.995193142941018 19.528570668483898 0)",103,fracture,0,1,0.6632,,,-9999
"LINESTRING Z (-9.995193142941018 19.528570668483898 0, -9.799514819242543 19.906346061807177 0)",104,fracture,1,1,0.4254,,,-9999
"LINESTRING Z (-23.737550940747873 -10.108358131359909 0, -23.445076569529693 -9.543708871617765 0)",105,fracture,1,1,0.6359,,,-9999
"LINESTRING Z (-23.445076569529693 -9.543708871617765 0, -22.954032196026755 -8.595701561287862 0)",106,fracture,1,1,1.0676,,,-9999
"LINESTRING Z (-22.910644787884387 -8.511938092414745 0, -22.81024637865831 -8.318109528179608 0)",107,fracture,1,1,0.2183,,,-9999
"LINESTRING Z (-21.43109329944979 -5.6555248989600315 0, -20.69006988231818 -4.224909552418019 0)",108,fracture,1,1,1.6111,,,-9999
"LINESTRING Z (-19.39801563964598 -1.7304774124910836 0, -19.035943854709846 -1.03146380495282 0)",109,fracture,1,1,0.7872,,,-9999
"LINESTRING Z (-18.921220951732813 -0.8099804593466928 0, -18.743908128874747 -0.4676613913456562 0)",110,fracture,1,1,0.3855,,,-9999
"LINESTRING Z (-18.408088355513254 0.1806702407407887 0, -17.5230864853131 1.8892495217135796 0)",111,fracture,1,1,1.9242,,,-9999
"LINESTRING Z (-17.409428678895825 2.108676598315641 0, -17.21047483414118 2.492775692864201 0)",112,fracture,1,1,0.4326,,,-9999
"LINESTRING Z (-17.21047483414118 2.492775692864201 0, -17.08903566179232 2.727225427673031 0)",113,fracture,0,1,0.264,,,-9999
"LINESTRING Z (-17.08903566179232 2.727225427673031 0, -16.93317604503192 3.02812706517686 0)",114,fracture,0,1,0.3389,,,-9999
"LINESTRING Z (-16.93317604503192 3.02812706517686 0, -16.713968750357914 3.451327348169939 0)",115,fracture,0,1,0.4766,,,-9999
"LINESTRING Z (-16.713968750357914 3.451327348169939 0, -16.65096457749859 3.572962824870028 0)",116,fracture,0,1,0.137,,,-9999
"LINESTRING Z (-16.65096457749859 3.572962824870028 0, -16.399314158545657 4.058797608217849 0)",117,fracture,0,1,0.5471,,,-9999
"LINESTRING Z (-16.399314158545657 4.058797608217849 0, -16.36580405996342 4.123492002737058 0, -16.360821705035264 4.1331109071567464 0, -16.348781160884954 4.156356309183078 0)",118,fracture,0,1,0.1099,,,-9999
"LINESTRING Z (-16.348781160884954 4.156356309183078 0, -16.004982120511013 4.820092666111216 0)",119,fracture,0,1,0.7475,,,-9999
"LINESTRING Z (-16.004982120511013 4.820092666111216 0, -15.632295205689895 5.539599779479262 0)",120,fracture,0,1,0.8103,,,-9999
"LINESTRING Z (-15.632295205689895 5.539599779479262 0, -15.303263989060586 6.17482546482043 0)",121,fracture,0,1,0.7154,,,-9999
"LINESTRING Z (-15.303263989060586 6.17482546482043 0, -15.253884146126085 6.2701578922157495 0)",122,fracture,0,1,0.1074,,,-9999
"LINESTRING Z (-15.253884146126085 6.2701578922157495 0, -14.888649926256702 6.975276877591404 0)",123,fracture,1,1,0.7941,,,-9999
"LINESTRING Z (-13.39860453352245 9.8519495394909 0, -13.266942864868223 10.106134764105215 0)",124,fracture,1,1,0.2863,,,-9999
"LINESTRING Z (-13.266942864868223 10.106134764105215 0, -12.542005236959946 11.505694982844096 0)",125,fracture,0,1,1.5762,,,-9999
"LINESTRING Z (-12.542005236959946 11.505694982844096 0, -12.41241370732928 11.755883609526265 0)",126,fracture,0,1,0.2818,,,-9999
"LINESTRING Z (-12.41241370732928 11.755883609526265 0, -12.381144229550042 11.816252275016614 0)",127,fracture,1,1,0.068,,,-9999
"LINESTRING Z (-11.468994853911923 13.577242366500924 0, -11.329988708107418 13.845606794471847 0)",128,fracture,1,1,0.3022,,,-9999
"LINESTRING Z (-11.329988708107418 13.845606794471847 0, -11.244202601140827 14.011224935962648 0)",129,fracture,0,1,0.1865,,,-9999
"LINESTRING Z (-11.244202601140827 14.011224935962648 0, -10.984331979770646 14.512929592593714 0)",130,fracture,1,1,0.565,,,-9999
