,ab,U-nodes,length
539,ab,0,0.155731971
540,ab,0,1.265006774
541,ab,0,0.661685291
542,ab,0,1.077629682
543,ab,0,1.499444701
544,ab,1,0.938142746
545,ab,1,1.623395649
546,ab,0,1.653494553
547,ab,0,1.400707228
548,ab,0,1.001306984
549,ab,0,0.621480935
550,ab,0,0.253571288
551,ab,1,0.855735027
552,ab,0,0.768351878
553,ab,0,1.860528658
554,ab,0,1.2172177
555,ab,0,1.439718617
556,ab,0,0.182938818
557,ab,0,0.901217937
558,ab,0,0.097436073
559,ab,0,1.21787246
560,ab,0,1.217815188
561,ab,0,0.622026399
562,ab,0,0.25280516
563,ab,0,0.565024921
564,ab,0,0.509782135
565,ab,0,0.739847797
566,ab,0,1.808291815
567,ab,1,0.559916311
568,ab,1,2.14219107
569,ab,0,0.481587736
570,ab,0,0.112834155
571,ab,0,0.444012337
572,ab,1,2.072069327
573,ab,0,0.249856252
574,ab,0,1.358198769
575,ab,1,1.949145349
576,ab,0,0.477837504
577,ab,0,1.134695447
578,ab,0,2.70124733
579,ab,0,3.699563085
580,ab,0,0.395448127
581,ab,0,0.350235703
582,ab,0,0.271595673
583,ab,0,0.218096397
584,ab,0,0.861104224
585,ab,0,0.42645355
586,ab,0,0.515535036
587,ab,0,0.830718489
588,ab,1,1.116849078
589,ab,0,0.872750812
590,ab,1,0.738634815
591,ab,0,0.52790793
592,ab,0,0.37696657
593,ab,0,0.321636301
594,ab,0,0.246513201
595,ab,1,1.893281874
596,ab,0,1.499440682
597,ab,0,0.212603383
598,ab,0,0.229186512
599,ab,0,0.097834944
600,ab,0,0.501407096
601,ab,0,1.243468605
602,ab,0,0.555681935
603,ab,0,0.959540665
604,ab,0,0.314551487
605,ab,1,0.196822788
606,ab,0,0.651501723
607,ab,0,0.115065244
608,ab,1,0.580441883
609,ab,0,1.277097789
610,ab,0,0.968633878
611,ab,0,0.96916162
612,ab,0,1.106711123
613,ab,0,0.443548103
614,ab,0,0.41313276
615,ab,0,1.325733554
616,ab,0,0.723940487
617,ab,0,0.710375049
618,ab,0,0.932550573
619,ab,0,1.748557547
620,ab,0,0.905526728
621,ab,0,0.19072665
622,ab,0,0.093337561
623,ab,1,2.040300889
624,ab,0,0.358631143
625,ab,0,0.55747573
626,ab,0,1.194209154
627,ab,0,0.592990254
628,ab,1,0.291980292
629,ab,0,0.592535328
630,ab,0,0.436476822
631,ab,0,1.537592955
632,ab,0,2.88759155
633,ab,0,3.929978814
634,ab,0,0.587860598
635,ab,0,1.091880158
636,ab,1,4.654299482
637,ab,1,1.012688845
638,ab,1,3.412345058
639,ab,0,0.242215742
640,ab,1,0.320117035
641,ab,0,0.313816981
642,ab,0,2.082290517
643,ab,0,0.504055923
644,ab,0,0.969612881
645,ab,0,0.90618413
646,ab,0,1.884911008
647,ab,0,0.946911177
648,ab,0,0.388651304
649,ab,0,0.467528981
650,ab,0,0.702908999
651,ab,0,0.185028547
652,ab,1,0.570555747
653,ab,1,0.694395356
654,ab,1,2.267494895
655,ab,1,1.525780794
656,ab,0,0.763079414
657,ab,1,0.626317468
658,ab,0,0.83451081
659,ab,0,1.066424842
660,ab,0,1.402512536
661,ab,0,1.815696616
662,ab,0,0.519005776
663,ab,0,0.602104497
664,ab,0,0.576360713
665,ab,0,0.334100827
666,ab,1,6.214031227
667,ab,1,7.171908755
668,ab,1,12.01129504
669,ab,0,1.128337435
670,ab,0,0.90934495
671,ab,1,2.839241193
672,ab,0,1.209001959
673,ab,0,1.734982733
674,ab,1,1.656073485
675,ab,1,0.681954031
676,ab,0,0.270845644
677,ab,0,0.582039344
678,ab,0,0.407008611
679,ab,0,0.777596682
680,ab,1,0.844563584
681,ab,0,1.213458304
682,ab,0,0.527531697
683,ab,0,0.648111891
684,ab,0,0.403993461
685,ab,0,0.540477981
686,ab,0,11.79096933
687,ab,0,0.460920213
688,ab,0,0.318106901
689,ab,0,1.29443657
690,ab,0,0.282206845
691,ab,0,1.3409125
692,ab,0,0.365166792
693,ab,0,0.285355168
694,ab,0,0.324579758
695,ab,0,0.27139615
696,ab,0,5.081077814
697,ab,1,5.301456475
698,ab,1,3.302085114
699,ab,1,1.69465992
700,ab,1,2.623770972
701,ab,0,0.904514678
702,ab,1,4.626350068
703,ab,0,0.657578743
704,ab,0,2.346253018
705,ab,1,2.336401623
706,ab,0,1.146991834
707,ab,0,0.537854155
708,ab,0,0.262131252
709,ab,0,1.094543541
710,ab,0,0.492506404
711,ab,0,0.511988162
712,ab,0,0.298705184
713,ab,0,1.114498774
714,ab,0,0.57279945
715,ab,0,0.242968233
716,ab,0,0.324793883
717,ab,0,0.276424865
718,ab,0,0.519545702
719,ab,0,0.435542748
720,ab,0,0.416031979
721,ab,1,0.783690224
722,ab,0,0.834785753
723,ab,0,1.355587277
724,ab,0,0.138742445
725,ab,1,0.183070192
726,ab,1,0.930899877
727,ab,0,0.93112421
728,ab,0,0.516821525
729,ab,1,0.513013396
730,ab,1,0.195233818
731,ab,0,0.615235012
732,ab,0,0.383621245
733,ab,0,0.938346086
734,ab,0,0.330859553
735,ab,1,0.450518092
736,ab,0,1.407867649
737,ab,0,0.357518706
738,ab,0,0.151784437
739,ab,0,0.398625025
740,ab,0,0.268791624
741,ab,0,9.147973785
742,ab,1,3.464841467
743,ab,0,1.306902178
744,ab,0,1.676721673
745,ab,0,4.745816665
746,ab,0,11.27121634
747,ab,1,3.362701598
748,ab,1,2.979191612
749,ab,1,0.425836417
750,ab,1,0.472878987
751,ab,1,0.394774101
752,ab,0,0.199829871
753,ab,1,1.105573954
754,ab,1,0.846214933
755,ab,1,1.046722212
756,ab,0,0.941398282
757,ab,1,1.156948582
758,ab,1,1.183431104
759,ab,1,0.454732709
760,ab,0,1.211846031
761,ab,0,0.799376922
762,ab,0,1.103594352
763,ab,0,9.457450108
764,ab,1,0.993663262
765,ab,1,1.360317337
766,ab,1,0.67815199
767,ab,0,1.447248311
768,ab,1,0.419340175
769,ab,1,0.975564021
770,ab,1,1.743442157
771,ab,0,3.867277808
772,ab,0,1.307026724
773,ab,0,0.291662843
774,ab,1,1.08368231
775,ab,0,0.756141555
776,ab,0,1.340434078
777,ab,0,5.377868443
778,ab,0,4.328822551
779,ab,0,4.194070014
780,ab,0,1.395824281
781,ab,0,1.283221683
782,ab,0,2.350467566
783,ab,0,1.552278778
784,ab,0,0.425512352
785,ab,0,1.087111066
786,ab,1,4.216253161
787,ab,0,2.919951988
788,ab,0,3.878530756
789,ab,0,0.601311433
790,ab,0,0.936588115
791,ab,0,0.51628696
792,ab,0,0.589979458
793,ab,0,9.079825771
794,ab,0,2.796393786
795,ab,0,8.791722855
796,ab,1,7.29271845
797,ab,0,2.11409668
798,ab,0,0.687703736
799,ab,0,0.525076909
800,ab,0,0.55484639
801,ab,0,2.185469934
802,ab,0,0.467899386
803,ab,0,1.3137269
804,ab,0,0.256034072
805,ab,1,1.876030321
806,ab,0,4.296379649
807,ab,0,0.763408175
808,ab,0,0.589389503
809,ab,0,0.548801954
810,ab,0,0.172927922
811,ab,0,3.951206364
812,ab,0,0.953212849
813,ab,0,0.891455858
814,ab,0,3.006503362
815,ab,0,3.087983724
816,ab,0,0.510489863
817,ab,0,1.473355406
818,ab,0,1.347895353
819,ab,0,0.526410887
820,ab,0,3.239395046
821,ab,0,1.166123228
822,ab,0,1.913648357
823,ab,0,1.732024483
824,ab,1,4.055228711
825,ab,0,0.371116343
826,ab,0,1.875738285
827,ab,0,0.312394441
828,ab,0,0.31820336
829,ab,0,2.5940842
830,ab,0,0.61363003
831,ab,0,0.928589599
832,ab,0,5.920378024
833,ab,0,5.554574626
834,ab,0,2.454303073
835,ab,0,2.131412776
836,ab,0,3.280624055
837,ab,0,1.977531505
838,ab,0,1.393291359
839,ab,0,4.358179171
840,ab,1,1.966793949
841,ab,0,2.806558883
842,ab,0,0.496302193
843,ab,0,0.745803316
844,ab,0,1.209489812
845,ab,0,1.52255389
846,ab,0,0.865004345
847,ab,0,1.807809678
848,ab,0,0.587885465
849,ab,0,0.578856462
850,ab,0,0.827402326
851,ab,0,4.841161006
852,ab,0,1.055693158
853,ab,0,1.093616677
854,ab,0,3.178663554
855,ab,0,2.148187968
856,ab,0,0.474504221
857,ab,0,1.059129838
858,ab,0,0.342776003
859,ab,0,2.912503845
860,ab,0,1.00850509
861,ab,0,1.367807145
862,ab,0,1.621003756
863,ab,0,1.130691324
864,ab,0,0.678667077
865,ab,1,1.86846392
866,ab,0,1.389536491
867,ab,0,1.06064091
868,ab,0,0.605164462
869,ab,0,1.531110625
870,ab,0,3.077389822
871,ab,0,0.493249106
872,ab,0,0.916341281
873,ab,0,1.750283341
874,ab,0,0.905114329
875,ab,0,0.853353128
876,ab,0,0.232936986
877,ab,0,1.40048677
878,ab,0,0.746156634
879,ab,0,0.35177687
880,ab,0,2.121687159
881,ab,0,0.699613744
882,ab,0,0.657752786
883,ab,0,0.926709942
884,ab,0,1.019271371
885,ab,0,1.63174256
