geometry,original_line_id,type,censored,f_set,length,id,Area,b_group
"LINESTRING Z (-14.110322507923309 -16.896932353039066 0, -15.914355003309316 -13.952018642448586 0)",50,fracture,1,2,3.4536,,,-9999
"LINESTRING Z (-15.914355003309316 -13.952018642448586 0, -18.033647844361703 -10.492472009927418 0)",51,fracture,0,2,4.0571,,,-9999
"LINESTRING Z (-18.033647844361703 -10.492472009927418 0, -18.717697828197196 -9.375824620660017 0)",52,fracture,0,2,1.3095,,,-9999
"LINESTRING Z (-18.717697828197196 -9.375824620660017 0, -19.515022623002185 -8.074266735189365 0)",53,fracture,1,2,1.5264,,,-9999
"LINESTRING Z (-20.373871379774542 -6.672276756842923 0, -20.373871379774545 -6.672276756842916 0, -20.373871379774545 -6.672276756842916 0, -20.829311461176243 -5.928813574498568 0)",54,fracture,1,2,0.8719,,,-9999
"LINESTRING Z (-20.829311461176243 -5.928813574498568 0, -21.68628668552898 -4.529881961965317 0, -21.68628668552898 -4.529881961965317 0, -21.68628668552898 -4.529881961965316 0)",55,fracture,1,2,1.6406,,,-9999
"LINESTRING Z (-21.915968968248052 -4.154947194887087 0, -21.936708012328037 -4.121092652126969 0)",56,fracture,1,2,0.0397,,,-9999
"LINESTRING Z (-13.90382080687294 -15.880443628294229 0, -18.086877952181847 -9.051995487304481 0)",57,fracture,1,2,8.0079,,,-9999
"LINESTRING Z (-18.086877952181847 -9.051995487304481 0, -18.48154136229246 -8.407744515952407 0, -18.48154136229246 -8.407744515952407 0, -18.48154136229246 -8.407744515952405 0)",58,fracture,1,2,0.7555,,,-9999
"LINESTRING Z (-20.228416005119435 -5.556135634459807 0, -20.620819645742806 -4.915573524679113 0)",59,fracture,1,2,0.7512,,,-9999
"LINESTRING Z (-20.789515781258817 -4.640192918356704 0, -21.32556509742787 -3.765142726757403 0, -21.32556509742787 -3.765142726757403 0, -21.32556509742787 -3.7651427267574027 0)",60,fracture,1,2,1.0262,,,-9999
"LINESTRING Z (-13.754748987623223 -14.770206012248995 0, -14.606709328389165 -13.379460726441867 0)",61,fracture,1,2,1.631,,,-9999
"LINESTRING Z (-14.606709328389165 -13.379460726441867 0, -16.90980092248479 -9.61987988211419 0)",62,fracture,0,2,4.4089,,,-9999
"LINESTRING Z (-16.90980092248479 -9.61987988211419 0, -17.185047249237222 -9.17056609008659 0)",63,fracture,0,2,0.5269,,,-9999
"LINESTRING Z (-17.185047249237222 -9.17056609008659 0, -17.54159526662959 -8.588534919590426 0)",64,fracture,0,2,0.6826,,,-9999
"LINESTRING Z (-17.54159526662959 -8.588534919590426 0, -17.915423377868986 -7.978295617910056 0)",65,fracture,0,2,0.7156,,,-9999
"LINESTRING Z (-17.915423377868986 -7.978295617910056 0, -18.492602739420718 -7.036104487954901 0)",66,fracture,1,2,1.1049,,,-9999
"LINESTRING Z (-18.86062967553016 -6.435335060138476 0, -18.930649301005484 -6.321034594043726 0, -18.930649301005484 -6.321034594043726 0, -18.930649301005484 -6.321034594043725 0)",67,fracture,1,2,0.134,,,-9999
"LINESTRING Z (-20.20252581625675 -4.244815569430169 0, -20.37569427753178 -3.962134311107502 0)",68,fracture,1,2,0.3315,,,-9999
