,abc,U-nodes,length
503,abc,0,0.700221436
504,abc,0,2.281360771
505,abc,0,0.30756516
506,abc,0,0.523537961
507,abc,0,0.7114216
508,abc,0,1.649890836
509,abc,0,1.579416553
510,abc,0,1.674610113
511,abc,0,0.628228456
512,abc,0,1.105595157
513,abc,0,0.833433053
514,abc,0,0.841345142
515,abc,0,0.898808856
516,abc,0,1.116894406
517,abc,0,0.634920262
518,abc,0,0.352853838
519,abc,0,0.601319433
520,abc,0,0.421598024
521,abc,0,0.59891218
522,abc,0,0.512405906
523,abc,0,0.638736145
524,abc,0,0.948239308
525,abc,0,0.558370288
526,abc,1,3.052285256
527,abc,0,2.504185087
528,abc,0,2.74478398
529,abc,0,1.949746185
530,abc,0,2.117320506
531,abc,0,0.429309357
532,abc,0,1.482244614
533,abc,0,3.039124046
534,abc,0,1.510064548
535,abc,0,2.505520403
536,abc,0,0.746477
537,abc,0,0.330214044
538,abc,0,1.1332283
539,abc,0,0.657867136
540,abc,0,0.541055178
541,abc,0,0.64044705
542,abc,0,0.42917325
543,abc,0,0.266106313
544,abc,0,0.503843173
545,abc,0,1.332238143
546,abc,0,0.354746838
547,abc,0,0.258660641
548,abc,0,0.494246866
549,abc,0,0.437251857
550,abc,0,0.395427287
551,abc,0,0.403800729
552,abc,0,17.01920135
553,abc,0,1.85726581
554,abc,0,1.995398631
555,abc,1,0.591038163
556,abc,0,0.259346735
557,abc,0,0.502634651
558,abc,0,0.6818299
559,abc,1,3.169820726
560,abc,0,0.704762749
561,abc,0,0.536712649
562,abc,0,0.58712605
563,abc,1,1.192017101
564,abc,0,0.364255737
565,abc,0,0.529997998
566,abc,0,0.48650867
567,abc,0,0.797495377
568,abc,0,0.570667425
569,abc,0,0.612511899
570,abc,0,0.263058633
571,abc,0,0.344923537
572,abc,0,0.482956377
573,abc,1,0.319544481
574,abc,0,0.76040068
575,abc,0,0.893731991
576,abc,0,1.220718213
577,abc,1,0.705878497
578,abc,0,0.34639397
579,abc,0,0.691380634
580,abc,1,0.520439117
581,abc,1,0.757683814
582,abc,0,0.565111861
583,abc,0,0.772727368
584,abc,0,0.226453092
585,abc,0,0.38872588
586,abc,0,2.39716022
587,abc,0,0.268759065
588,abc,0,0.258835598
589,abc,0,2.308760637
590,abc,0,0.928955287
591,abc,0,0.982134844
592,abc,0,0.559091189
593,abc,0,0.298553188
594,abc,0,0.649504666
595,abc,0,1.18548128
596,abc,0,0.209958017
597,abc,0,0.406859395
598,abc,0,0.416846527
599,abc,0,0.454150257
600,abc,0,0.271257083
601,abc,0,0.907865276
602,abc,0,0.753996867
603,abc,0,0.336219951
604,abc,0,0.651840481
605,abc,0,0.782754669
606,abc,0,0.228242088
607,abc,0,0.272337726
608,abc,0,0.283347366
609,abc,0,0.855565692
610,abc,0,0.434965832
611,abc,0,2.086876218
612,abc,0,1.279330339
613,abc,0,0.686387721
614,abc,0,0.780707654
615,abc,0,0.671110952
616,abc,0,1.293301472
617,abc,0,0.565623039
618,abc,0,0.867025111
619,abc,0,0.877893665
620,abc,0,0.216641085
621,abc,0,0.46594996
622,abc,0,2.518924584
623,abc,0,0.472672932
624,abc,0,0.33671727
625,abc,0,0.870771902
626,abc,1,1.206157896
627,abc,0,0.422254902
628,abc,0,0.870131461
629,abc,1,0.782203409
630,abc,0,3.712548988
631,abc,0,0.29693313
632,abc,0,0.796942861
633,abc,0,0.790920905
634,abc,1,1.485352103
635,abc,0,1.007828181
636,abc,1,0.685736923
637,abc,0,2.087854848
638,abc,1,1.073053736
639,abc,0,0.662277211
640,abc,0,3.087729485
641,abc,0,0.516751778
642,abc,0,0.592964114
643,abc,0,1.302164654
644,abc,0,0.964978324
645,abc,0,0.638446013
646,abc,0,1.718458103
647,abc,1,0.589425919
648,abc,1,0.650227289
649,abc,1,0.32141581
650,abc,0,0.396537075
651,abc,1,0.334125682
652,abc,0,0.322227614
653,abc,0,0.935893603
654,abc,1,2.255866666
655,abc,0,1.064620341
656,abc,0,0.099115048
657,abc,1,0.947482963
658,abc,1,0.69655744
659,abc,0,0.67066117
660,abc,0,0.844703383
661,abc,1,0.772319697
662,abc,0,0.750327661
663,abc,0,0.470161445
664,abc,0,0.603942083
665,abc,0,0.531523017
666,abc,0,0.34739504
667,abc,0,0.776303671
668,abc,1,0.599176081
669,abc,1,0.645422604
670,abc,1,0.690563717
671,abc,1,0.493328552
672,abc,1,0.658297469
673,abc,0,0.275335463
674,abc,0,0.218045764
675,abc,0,0.793429508
676,abc,0,0.241665304
677,abc,0,0.913443862
678,abc,1,0.618809257
679,abc,0,0.746968483
680,abc,0,0.460751658
681,abc,1,1.26002033
682,abc,0,0.651097021
683,abc,0,0.844016718
684,abc,0,0.556906403
685,abc,0,0.979161113
686,abc,1,0.508332516
687,abc,1,0.420131773
688,abc,1,0.476766953
689,abc,1,0.304994728
690,abc,1,0.437610876
691,abc,1,0.301243282
