type;n_type;n_index;n_origin;geometry;og_line_id
node;3;834;[2 1];POINT Z (410107.2027297732 5081035.304320064 0);276
node;3;835;[2 1];POINT Z (410107.2802636944 5081035.246677045 0);277
node;3;839;[2 1];POINT Z (410107.998857089 5081034.780402605 0);278
node;3;851;[1];POINT Z (410107.2170752123 5081036.170432478 0);281
node;3;853;[1];POINT Z (410107.6716749543 5081035.91782456 0);282
node;3;857;[1];POINT Z (410108.64874568465 5081035.621595373 0);284
node;3;858;[1];POINT Z (410108.93489923957 5081035.526210856 0);285
node;3;861;[2 1];POINT Z (410109.383716813 5081035.359946794 0);286
node;3;863;[2 1];POINT Z (410109.6867963032 5081035.24448794 0);288
node;3;867;[1 2];POINT Z (410104.3504502816 5081035.047906113 0);290
node;3;869;[2 1];POINT Z (410104.6323653842 5081034.730637769 0);291
node;3;875;[1];POINT Z (410106.83304823015 5081035.993412957 0);294
node;3;879;[2 1];POINT Z (410107.5989141849 5081035.584284074 0);298
node;3;880;[2 1];POINT Z (410107.5038305637 5081035.740750792 0);299
node;3;885;[2 1];POINT Z (410107.74272926705 5081035.705373343 0);301
node;3;888;[2 1];POINT Z (410107.79314354365 5081035.796717734 0);303
node;3;892;[2 1];POINT Z (410108.2705689113 5081035.265642594 0);304
node;3;894;[2 1];POINT Z (410108.4260815088 5081035.148584443 0);305
node;3;900;[2 1];POINT Z (410108.59415362636 5081035.531419769 0);308
node;3;924;[2 1];POINT Z (410109.57353139203 5081036.041397986 0);313
node;3;927;[2 1];POINT Z (410110.21130658564 5081035.542459321 0);314
node;3;930;[1 2];POINT Z (410102.6244636523 5081039.629965004 0);316
node;3;940;[2 1];POINT Z (410109.2448160175 5081035.775421193 0);319
node;3;945;[1 2];POINT Z (410108.82838151435 5081036.028107943 0);320
node;3;952;[2 1];POINT Z (410108.5534264586 5081035.897915093 0);322
node;3;960;[2 1];POINT Z (410109.80803036806 5081036.55773985 0);324
node;3;962;[2 1];POINT Z (410110.1595522106 5081036.360298825 0);325
node;3;967;[2 1];POINT Z (410110.5097969415 5081036.100323355 0);326
node;3;969;[2 1];POINT Z (410110.5563776512 5081036.067477704 0);327
