id,length,azimuth,geometry,type,censored,f_set
,2.914,76,"LINESTRING (410129.8426904917 5081044.466376474, 410129.9871213086 5081044.566274456, 410130.1592346987 5081044.60719652, 410130.3445875803 5081044.620436012, 410130.5841020183 5081044.592753438, 410130.82000568585 5081044.575903176, 410130.90786776633 5081044.589744464, 410130.9957298464 5081044.60358575, 410131.2776371624 5081044.6429216545, 410131.35801047867 5081044.654136536, 410131.6203931293 5081044.673393978, 410131.63447780337 5081044.67755231, 410131.6617429488 5081044.68560202, 410131.66174294887 5081044.68560202, 410131.7467700941 5081044.710705272, 410132.1018291857 5081044.850321729, 410132.2438528215 5081044.938785603, 410132.3067908038 5081044.977988499, 410132.3067908038 5081044.977988499, 410132.3067908041 5081044.977988499, 410132.38587645884 5081045.027249479, 410132.6043111397 5081045.132086195)",fracture,0,1
,0.601,42,"LINESTRING (410129.14383146336 5081043.479658844, 410129.14383146353 5081043.479658844, 410129.1438314637 5081043.479658844, 410129.1495805252 5081043.491083215, 410129.1872463212 5081043.577350038, 410129.2303179284 5081043.608756418, 410129.2303179285 5081043.608756418, 410129.2303179285 5081043.608756418, 410129.2455675536 5081043.619875937, 410129.3075338631 5081043.690347426, 410129.375575301 5081043.711002862, 410129.44483176456 5081043.755958812, 410129.4776374575 5081043.793017095, 410129.47763745754 5081043.793017095, 410129.51044315106 5081043.8300753785, 410129.5298835619 5081043.902976919)",fracture,0,1
,0.349,37,"LINESTRING (410129.57240946055 5081043.404816392, 410129.6744716174 5081043.5056635225, 410129.6586762836 5081043.53725419, 410129.7704586458 5081043.666046912)",fracture,0,1
,0.539,74,"LINESTRING (410129.8470052633 5081043.390236083, 410130.0025285499 5081043.440052136, 410130.07907516754 5081043.472857829, 410130.1677720419 5081043.4765029065, 410130.2345984541 5081043.508093574, 410130.36131073954 5081043.536950904)",fracture,0,1
,1.45,59,"LINESTRING (410131.704671333 5081044.224821355, 410131.83249199815 5081044.217547008, 410131.8840241714 5081044.23110699, 410131.9998019744 5081044.281976936, 410132.2086796466 5081044.473188338, 410132.35520577483 5081044.561519692, 410132.5590773674 5081044.718093076, 410132.61500387464 5081044.761044634, 410132.71164876776 5081044.861846296, 410132.7550709714 5081044.881645021, 410132.7550709714 5081044.881645021, 410132.75507097156 5081044.881645021, 410132.91221290076 5081044.953295227)",fracture,0,1
,0.884,88,"LINESTRING (410131.9655086253 5081044.719476936, 410132.10760961694 5081044.713430085, 410132.10760961694 5081044.713430085, 410132.10760961776 5081044.713430085, 410132.30740292446 5081044.704928243, 410132.3074029246 5081044.704928243, 410132.55907736794 5081044.718093076, 410132.7532164638 5081044.717398551, 410132.8446653949 5081044.744417554)",fracture,0,1
,0.652,48,"LINESTRING (410132.3074029246 5081044.704928243, 410132.3926167013 5081044.73922159, 410132.46743855404 5081044.777671709, 410132.5079670576 5081044.799494749, 410132.56200506235 5081044.861846293, 410132.6161677801 5081044.951553294, 410132.6161677801 5081044.951553294, 410132.6285133759 5081044.972000687, 410132.7178839222 5081045.056175272, 410132.7812746586 5081045.128351051)",fracture,0,1
,6.141,79,"LINESTRING (410131.89953326806 5081044.0357189495, 410132.3692348719 5081044.169744142, 410132.4866636116 5081044.218586185, 410132.4866636122 5081044.218586185, 410132.6040923541 5081044.267428228, 410132.8680472234 5081044.365112313, 410133.1236885535 5081044.471109938, 410133.1236885536 5081044.471109938, 410133.3647811902 5081044.541775021, 410133.72642014455 5081044.593734641, 410133.7264201446 5081044.593734641, 410133.726420145 5081044.593734641, 410134.2397811901 5081044.764162192, 410134.70758831565 5081044.93479341, 410134.7075883159 5081044.93479341, 410134.7075883159 5081044.93479341, 410134.8352384345 5081044.9813534, 410135.12465351756 5081045.081635466, 410135.33899895055 5081045.138910119, 410135.3389989506 5081045.138910119, 410135.5278601685 5081045.137751855, 410135.6665923536 5081045.153339744, 410136.17008107103 5081045.176201975, 410136.60862026346 5081045.1304775085, 410136.94012263877 5081045.093066584, 410137.13237323257 5081045.084753045, 410137.2352532801 5081045.1044977, 410137.27993855317 5081045.1315167, 410137.3412509047 5081045.125281545, 410137.498687967 5081045.122464776, 410137.4986879675 5081045.122464776, 410137.49868796754 5081045.122464776, 410137.6801346186 5081045.13814622, 410137.68013461895 5081045.13814622, 410137.8407538374 5081045.152027663)",fracture,0,1
,1.509,65,"LINESTRING (410132.5251137316 5081044.3900529295, 410132.984436772 5081044.602048179, 410133.01910408953 5081044.621906157, 410133.01910408976 5081044.621906157, 410133.01910408976 5081044.621906157, 410133.1985104062 5081044.724672882, 410133.447916582 5081044.843140815, 410133.653676677 5081044.930432977, 410133.89269092877 5081045.023960293)",fracture,0,1
,4.734,68,"LINESTRING (410134.07807433885 5081043.797573915, 410134.383189741 5081043.863701977, 410134.6824771519 5081043.980091526, 410134.86886373436 5081044.073874649, 410134.86886373436 5081044.073874649, 410135.01086195 5081044.145323118, 410135.195838197 5081044.247163973, 410135.3496386721 5081044.30224117, 410135.4384146799 5081044.329202772, 410135.4384146801 5081044.329202772, 410135.63022061985 5081044.387454946, 410135.89937145123 5081044.466433568, 410136.10175980424 5081044.565937318, 410136.10175980435 5081044.565937318, 410136.1017598046 5081044.565937318, 410136.2345293714 5081044.637731771, 410136.23452937166 5081044.637731771, 410136.2345293717 5081044.637731771, 410136.60394389776 5081044.7522114795, 410137.0258560118 5081044.815602215, 410137.25032156997 5081044.923678225, 410137.39476931345 5081045.049420505, 410137.4986879675 5081045.122464776, 410137.5381778645 5081045.150222167, 410137.6423687288 5081045.199794337, 410137.64236872917 5081045.199794337, 410137.64236872934 5081045.199794337, 410137.71587976476 5081045.221926443, 410137.92787501414 5081045.259337369, 410138.10661610676 5081045.361178224, 410138.15133622277 5081045.378726625, 410138.15133622364 5081045.378726625, 410138.1887123063 5081045.393393189, 410138.36433582177 5081045.477567773, 410138.41681503784 5081045.53939972)",fracture,0,1
