type,n_type,n_origin,geometry
node,1,1,POINT Z (440166.38847811427 3987854.3648853246 0)
node,1,1,POINT Z (440167.7378558153 3987854.8093862087 0)
node,1,1,POINT Z (440167.99185632356 3987854.5712607335 0)
node,1,1,POINT Z (440171.7383638174 3987855.3491372913 0)
node,1,1,POINT Z (440185.26852109283 3987860.4291474577 0)
node,1,1,POINT Z (440183.62148654833 3987860.243938749 0)
node,1,1,POINT Z (440194.04238656163 3987854.4992939215 0)
node,1,1,POINT Z (440196.2016802636 3987854.537020683 0)
node,1,1,POINT Z (440196.7513725385 3987848.816032553 0)
node,1,1,POINT Z (440199.053252142 3987849.0700330604 0)
node,1,1,POINT Z (440195.47038976377 3987853.3192498926 0)
node,1,1,POINT Z (440197.73258178873 3987853.5706045595 0)
node,1,1,POINT Z (440194.79570091516 3987850.8586199675 0)
node,1,1,POINT Z (440195.86726555694 3987851.2687249556 0)
node,1,1,POINT Z (440191.7926740721 3987847.419029755 0)
node,1,1,POINT Z (440192.83778032934 3987847.379342178 0)
node,1,1,POINT Z (440188.5912093343 3987850.1574727315 0)
node,1,1,POINT Z (440189.7686075243 3987849.9987224196 0)
node,1,1,POINT Z (440188.6838136864 3987850.4352857936 0)
node,1,1,POINT Z (440188.9616267429 3987850.369139826 0)
node,1,1,POINT Z (440181.01088167075 3987849.7870553248 0)
node,1,1,POINT Z (440186.752351489 3987848.7022614903 0)
node,1,1,POINT Z (440183.2677820176 3987847.916447419 0)
node,1,1,POINT Z (440187.3212067932 3987848.6890322957 0)
node,1,1,POINT Z (440175.50224565156 3987849.1862294674 0)
node,1,1,POINT Z (440176.7722481908 3987849.4905009083 0)
node,1,1,POINT Z (440165.5261111092 3987852.435539793 0)
node,1,1,POINT Z (440168.91278455226 3987852.033372318 0)
node,1,1,POINT Z (440164.6053592683 3987848.1916146316 0)
node,1,1,POINT Z (440166.3727794718 3987848.318614889 0)
node,1,1,POINT Z (440151.5772498725 3987847.8952807058 0)
node,1,1,POINT Z (440154.7945896406 3987846.974528866 0)
node,1,1,POINT Z (440149.3750301888 3987851.292537503 0)
node,1,1,POINT Z (440152.5817866018 3987851.0808704146 0)
node,1,1,POINT Z (440148.62255368195 3987844.122491218 0)
node,1,1,POINT Z (440158.0927427871 3987843.0640837187 0)
node,1,1,POINT Z (440150.8582873214 3987843.566865105 0)
node,1,1,POINT Z (440154.6998805982 3987843.0846691583 0)
node,1,1,POINT Z (440168.3705286003 3987834.071904907 0)
node,1,1,POINT Z (440170.08362152474 3987834.22609817 0)
node,1,1,POINT Z (440169.15168700117 3987843.791399918 0)
node,1,1,POINT Z (440185.73385667056 3987843.424240923 0)
node,1,1,POINT Z (440172.9814669946 3987841.193547856 0)
node,1,1,POINT Z (440175.0875545414 3987841.0877143126 0)
node,1,1,POINT Z (440172.57929952536 3987840.039962217 0)
node,1,1,POINT Z (440174.43138656206 3987840.082295636 0)
node,1,1,POINT Z (440177.91507408675 3987841.5950097707 0)
node,1,1,POINT Z (440179.6295775166 3987841.11875882 0)
node,1,1,POINT Z (440177.23773939913 3987840.716591345 0)
node,1,1,POINT Z (440184.7677961299 3987842.1770942677 0)
node,1,1,POINT Z (440202.3890813812 3987841.049967015 0)
node,1,1,POINT Z (440192.06722392514 3987845.930392746 0)
node,1,1,POINT Z (440196.0677319281 3987846.3537269314 0)
node,1,1,POINT Z (440193.88756090024 3987845.253058059 0)
node,1,1,POINT Z (440197.5070681423 3987845.3800583165 0)
node,1,1,POINT Z (440153.11267411895 3987848.035620393 0)
node,1,1,POINT Z (440159.3833116647 3987848.0276828795 0)
node,1,1,POINT Z (440180.022837325 3987831.0409028083 0)
node,1,1,POINT Z (440181.9278411381 3987831.4324869253 0)
node,1,1,POINT Z (440190.24635777716 3987832.898281522 0)
node,1,1,POINT Z (440191.421110128 3987832.6019475963 0)
node,1,1,POINT Z (440196.77628750727 3987832.4431972764 0)
node,1,1,POINT Z (440197.9211407536 3987832.0939465794 0)
node,1,1,POINT Z (440195.6967853484 3987832.1362799983 0)
node,1,1,POINT Z (440197.7922895411 3987831.8399460707 0)
node,1,1,POINT Z (440190.59649042226 3987827.0033530644 0)
node,1,1,POINT Z (440172.96197597776 3987827.0033530644 0)
node,1,1,POINT Z (440163.7788874712 3987828.595089584 0)
node,1,1,POINT Z (440175.1586394022 3987828.727381518 0)
node,1,1,POINT Z (440172.22440436383 3987828.087088568 0)
node,1,1,POINT Z (440175.28563965484 3987828.314630691 0)
node,1,1,POINT Z (440172.9070307296 3987827.7854629643 0)
node,1,1,POINT Z (440147.6620519212 3987827.722987905 0)
node,1,1,POINT Z (440167.6021681175 3987827.4171361756 0)
node,1,1,POINT Z (440160.17437331285 3987823.424238961 0)
node,1,1,POINT Z (440165.214695896 3987823.106738329 0)
node,1,1,POINT Z (440166.0375517048 3987822.12923325 0)
node,1,1,POINT Z (440175.66983146215 3987820.7838090863 0)
node,1,1,POINT Z (440183.7134735221 3987812.013045652 0)
node,1,1,POINT Z (440188.09233644884 3987811.933670495 0)
node,1,1,POINT Z (440185.76399845816 3987810.809189078 0)
node,1,1,POINT Z (440188.8464004602 3987811.0605437476 0)
node,1,1,POINT Z (440186.75618794374 3987811.2589816414 0)
node,1,1,POINT Z (440189.3226514104 3987811.563253084 0)
node,1,1,POINT Z (440144.99550657446 3987800.3581710085 0)
node,1,1,POINT Z (440169.5637049414 3987801.0987408315 0)
node,1,1,POINT Z (440164.6477367738 3987808.2954218965 0)
node,1,1,POINT Z (440166.21407324076 3987808.147254931 0)
node,1,1,POINT Z (440172.0496654338 3987808.5528504085 0)
node,1,1,POINT Z (440192.2993962569 3987808.2583801546 0)
node,1,1,POINT Z (440208.3078309854 3987803.320214611 0)
node,1,1,POINT Z (440197.67574034823 3987803.560693674 0)
node,1,1,POINT Z (440203.5825529676 3987798.851982854 0)
node,1,1,POINT Z (440211.7846527053 3987798.732920112 0)
node,1,1,POINT Z (440202.55067590345 3987798.2302107713 0)
node,1,1,POINT Z (440205.5933903233 3987797.6216678936 0)
node,1,1,POINT Z (440177.3500331389 3987785.9365420844 0)
node,1,1,POINT Z (440181.32937443163 3987785.7354583517 0)
node,1,1,POINT Z (440162.004169113 3987783.7140376414 0)
node,1,1,POINT Z (440172.91108399443 3987784.266590502 0)
node,1,1,POINT Z (440175.90035914443 3987784.182301011 0)
